mfcc_1_mean,mfcc_1_std,mfcc_1_min,mfcc_1_max,mfcc_1_skew,mfcc_1_kurtosis,mfcc_2_mean,mfcc_2_std,mfcc_2_min,mfcc_2_max,mfcc_2_skew,mfcc_2_kurtosis,mfcc_3_mean,mfcc_3_std,mfcc_3_min,mfcc_3_max,mfcc_3_skew,mfcc_3_kurtosis,mfcc_4_mean,mfcc_4_std,mfcc_4_min,mfcc_4_max,mfcc_4_skew,mfcc_4_kurtosis,mfcc_5_mean,mfcc_5_std,mfcc_5_min,mfcc_5_max,mfcc_5_skew,mfcc_5_kurtosis,mfcc_6_mean,mfcc_6_std,mfcc_6_min,mfcc_6_max,mfcc_6_skew,mfcc_6_kurtosis,mfcc_7_mean,mfcc_7_std,mfcc_7_min,mfcc_7_max,mfcc_7_skew,mfcc_7_kurtosis,mfcc_8_mean,mfcc_8_std,mfcc_8_min,mfcc_8_max,mfcc_8_skew,mfcc_8_kurtosis,mfcc_9_mean,mfcc_9_std,mfcc_9_min,mfcc_9_max,mfcc_9_skew,mfcc_9_kurtosis,mfcc_10_mean,mfcc_10_std,mfcc_10_min,mfcc_10_max,mfcc_10_skew,mfcc_10_kurtosis,mfcc_11_mean,mfcc_11_std,mfcc_11_min,mfcc_11_max,mfcc_11_skew,mfcc_11_kurtosis,mfcc_12_mean,mfcc_12_std,mfcc_12_min,mfcc_12_max,mfcc_12_skew,mfcc_12_kurtosis,mfcc_13_mean,mfcc_13_std,mfcc_13_min,mfcc_13_max,mfcc_13_skew,mfcc_13_kurtosis,spectral_centroid_mean,spectral_centroid_std,spectral_centroid_skew,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,zcr_mean,zcr_std,zcr_skew,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,tonnetz_1_mean,tonnetz_1_std,tonnetz_2_mean,tonnetz_2_std,tonnetz_3_mean,tonnetz_3_std,tonnetz_4_mean,tonnetz_4_std,tonnetz_5_mean,tonnetz_5_std,tonnetz_6_mean,tonnetz_6_std,tempo,onset_count,onset_rate,rms_mean,rms_std,rms_skew,rms_range,rms_variance,rms_p10,rms_p90,rms_iqr,energy_entropy_mean,energy_entropy_std,harmonic_centroid_mean,harmonic_centroid_std,percussive_centroid_mean,percussive_centroid_std,harmonic_to_noise_ratio,alpha_ratio_mean,alpha_ratio_std,spectral_slope,hammarberg_index_mean,hammarberg_index_std,jitter_mean,jitter_std,shimmer_mean,shimmer_std,f0_mean,f0_std,f0_min,f0_max,f0_skew,f0_kurtosis,f0_range,voicing_ratio,f0_slope,f0_variation_coef,f1_bandwidth_proxy_mean,f1_bandwidth_proxy_std,duration,sample_rate,file_path,filename,actor_id,modality,vocal_channel,emotion,intensity,statement,repetition,gender
-570.9829,182.29259,-739.41614,-259.47736,0.37759852,-1.5945696,45.415054,66.25188,-96.40533,185.7092,0.50120735,-0.8513334,-1.5627903,21.761063,-66.33385,60.4579,-0.17874552,1.2492905,11.880344,22.149824,-27.160358,75.740746,1.103218,0.31592727,-0.43858024,19.057539,-76.62981,39.69895,-1.2947376,3.599587,-1.7890209,17.72139,-50.276352,44.738796,-0.47773886,0.8688364,-5.26024,12.888666,-45.045166,31.082058,-0.7330248,1.076293,-6.6141477,11.587413,-39.56929,21.21228,-0.80041987,0.050925255,-13.445087,18.350428,-68.195724,9.634655,-1.0366669,-0.15518689,-4.125199,9.079684,-28.884884,24.025768,-0.58716977,0.4533751,-3.681512,10.235952,-40.92318,17.099318,-1.4131358,2.2101774,-4.405502,9.604794,-39.744484,17.819586,-1.4429363,2.104845,-1.0022496,7.787481,-23.590805,23.561298,-0.11540163,1.4418945,3191.916409584403,1435.4911075889213,0.053555405255337224,6016.248609530216,2568.902654635896,2589.151726766277,633.3887911306354,0.3855934395695364,0.2800538068088547,0.0674250571534839,0.5587004,0.32349148,0.5601191,0.3237287,0.48545846,0.28672814,0.5362124,0.30387056,0.5747436,0.3084917,0.5240611,0.29819852,0.5060745,0.31582075,0.58839005,0.35125747,0.5967842,0.33120236,0.54161555,0.28942263,0.57337284,0.2974167,0.5688536,0.30639416,-0.03032598058950222,0.03717618311504835,0.008955523663918143,0.025992231607021816,-0.006035779010726994,0.07906968929021384,-0.01189760377766328,0.06805831498127562,0.012451387429756456,0.018171269970651282,0.016326331513446646,0.022820036685559052,[83.35433468],11,3.139683895771038,0.0069032386,0.00983982,1.4334723,0.037478156,9.682205e-05,3.4958668e-06,0.020976469,0.011604662,20.090260740307627,11.876760047111162,2888.134371624609,1330.4223430228778,3312.7721722605143,1544.8502905642329,-9.374713,0.8291045,1.1113735,-1.707835231440336e-05,8.016871,10.152078,0.0020799826156944284,0.0035575737849931183,0.01756365,0.02800475,504.34433193710976,642.3653199900276,65.23668639053254,1994.775226208552,1.2708953885457606,-0.1598983456615466,1929.5385398180197,1.0,-6.645223051231391,1.2736641998586025,0.37319872,0.76770514,3.5035374149659866,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/RAVDESS/RAVDESSData/Actor_01/03-01-05-01-02-01-01.wav,03-01-05-01-02-01-01.wav,Actor_01,audio-only,speech,Anger,Normal,dogs,01,male
-624.02625,196.46109,-838.49536,-317.85706,0.12567157,-1.7553841,60.417793,65.96034,-77.81595,203.01381,0.14524621,-0.9624686,-3.3307755,23.93783,-78.787926,59.793396,-0.33210918,1.0130334,15.390852,18.450924,-23.90328,64.15914,0.8667255,0.13115287,6.7717643,16.420055,-32.229496,49.390823,0.22422796,0.06528735,-0.058078505,12.408915,-39.238483,28.59771,-0.30734667,0.7416885,-3.9153352,9.834592,-31.384377,20.389542,-0.8061214,0.6057215,-10.592283,13.753755,-46.04163,14.900715,-0.60902196,-0.62156606,-10.528063,15.940176,-50.352863,13.138484,-0.8458053,-0.48694992,-0.66487485,10.370804,-24.275053,23.790096,-0.18383747,-0.26594782,-0.90128005,11.646169,-49.010605,15.55969,-1.7203095,3.75711,-1.2349017,7.6155295,-31.386227,12.67337,-1.4358186,2.314085,0.28941718,7.8705397,-18.484783,17.708885,-0.32700005,-0.23106432,2972.908907218015,1611.9120967335587,0.3245634051021656,5613.571472167969,2781.0938869954907,2499.367265593903,649.2619216621237,0.3351593017578125,0.2786494362808376,0.3666061241641841,0.62642145,0.2787257,0.5621767,0.27284187,0.5116211,0.29544678,0.51222277,0.32857054,0.47996873,0.3045487,0.47333488,0.32484034,0.53287745,0.30423442,0.598075,0.31228092,0.52152246,0.3002179,0.4697979,0.2992417,0.522611,0.28674072,0.6230072,0.2771858,-0.03325394568110916,0.05644156382194296,0.01647413022289406,0.09753455814710614,0.09737573969177866,0.0969398931726963,-0.011110535776242922,0.11314306360439198,0.004150406714254121,0.03227575655113676,0.02304456079873495,0.039860709726859275,[107.66601562],6,1.6199933877820907,0.0045714164,0.0058127083,0.9532166,0.018903987,3.378758e-05,3.944894e-06,0.0139072,0.00840355,21.018104064485332,12.117586101335458,2589.6631155146983,1495.368403129935,3165.0726736618676,1662.3728008767202,-2.305047,0.9903433,1.0518062,-1.1039927181245396e-05,16.481457,40.256927,0.002596089053968905,0.004590920389928741,0.008086072,0.013225401,501.10234279443847,637.9823395963987,65.23668639053254,2205.0,1.401498704216662,0.39185736242157,2139.7633136094673,1.0,-0.7603462570108931,1.2731577666121263,0.21176477,0.3943947,3.703718820861678,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/RAVDESS/RAVDESSData/Actor_01/03-01-06-01-02-02-01.wav,03-01-06-01-02-02-01.wav,Actor_01,audio-only,speech,Fear,Normal,dogs,02,male
-404.05585,133.99258,-570.1853,-144.78868,0.15310241,-1.5295289,42.662426,34.42637,-28.388706,131.98267,0.40681687,-0.5928769,-17.537214,22.933706,-76.92645,43.945442,-0.45565796,0.15968275,-3.2199833,15.492176,-59.34198,37.125534,-0.10618391,0.6916251,1.9150127,17.694258,-54.18245,33.24044,-1.3363346,1.9122171,-0.23162158,13.316621,-41.011726,25.467188,-0.9001598,0.2822528,-11.389852,13.939698,-54.161827,13.94854,-0.93484306,0.5634692,-15.012191,12.857821,-40.931564,8.881912,-0.07188716,-0.9592078,-17.22242,16.558758,-75.2794,8.249634,-1.0755986,1.1459122,-7.2708745,11.246949,-38.383354,9.638796,-0.7439356,-0.5092945,-4.4906826,9.612477,-29.601738,21.660477,-0.38494232,0.1478455,-9.206505,13.906424,-45.08061,13.991585,-0.691159,-0.42669392,-6.413215,8.923998,-29.148304,11.356236,-0.48624623,-0.57090664,2703.0019742917075,855.3989363652225,0.38371907380244047,5442.605340676229,1591.4091979772056,2526.591197940935,352.57453018461433,0.16128490010245902,0.09066064833866068,0.5063900300822397,0.3182667,0.2565507,0.3891511,0.30668542,0.3425794,0.28728372,0.2996536,0.2747107,0.39084914,0.31823877,0.45802414,0.37479818,0.37486133,0.30042052,0.47403505,0.36324745,0.510482,0.35813338,0.38856044,0.26826718,0.3987622,0.3062273,0.3302164,0.25645155,-0.02100653844999182,0.09467526388422032,0.0011320301882850798,0.07914919733986431,-0.05172089923712685,0.135920130679044,-0.03554485847440703,0.13071179041481976,0.0031264455265482874,0.05377045430543579,-0.011884155390590711,0.04095152750945701,[184.5703125],17,4.011708173246717,0.022494612,0.03317621,2.598737,0.1924714,0.0011006609,0.00022928207,0.054430064,0.042135846,21.82707623070665,10.804004053747823,2356.1330330210308,805.6276116935476,2985.0984685921676,975.3060684589497,-3.5980167,0.6487912,0.63978916,-4.8770819022599757e-05,12.5076275,20.954767,0.0012986327444482397,0.0029166795022719603,0.039595194,0.064482525,681.3519941926223,621.5471789215354,65.43244714494246,1816.1212498230348,0.920884916581266,-0.9629406867085626,1750.6888026780923,1.0,2.134007126498954,0.9122262563536712,1.0951493,1.8467531,4.237596371882086,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/RAVDESS/RAVDESSData/Actor_01/03-01-06-02-01-02-01.wav,03-01-06-02-01-02-01.wav,Actor_01,audio-only,speech,Fear,Strong,kids,02,male
-349.08368,184.50368,-557.02,-36.19816,0.18264243,-1.6086718,29.868893,38.214554,-57.98156,128.47183,0.6156381,-0.19712281,-20.021608,27.818737,-108.12842,35.44021,-0.86309785,0.33185387,0.8248058,17.321602,-46.903015,43.22582,-0.19853696,0.50015616,-11.387679,28.007643,-101.28339,35.439728,-1.6557144,2.315765,-4.3352494,15.801891,-49.744717,31.555069,-0.5260449,0.48367977,-12.862408,16.576958,-58.40569,14.609741,-0.8487854,-0.38966346,-13.475211,14.515033,-50.74183,14.105141,-0.48697525,-0.78158426,-13.617985,14.08788,-55.92536,10.185404,-0.7321002,-0.3290701,-8.423021,10.80689,-34.12752,11.083913,-0.54677373,-0.8502443,-5.636474,11.818287,-43.123253,13.694066,-1.0660781,0.7469404,-4.9704933,10.025187,-33.920074,13.865606,-1.1565235,0.75901055,-7.1078973,9.656417,-29.312634,13.693895,-0.47787243,-0.8160815,3272.2435229217285,1139.9384973020783,0.35138389352177746,6226.197944253178,2021.9667410224704,2642.893220814459,469.106447823128,0.2711809233757062,0.23073645147992752,1.3260033591705789,0.37793317,0.28869343,0.44434744,0.31414762,0.4794125,0.3075756,0.5417271,0.3438887,0.55386955,0.30444452,0.52566683,0.32728416,0.49593478,0.31117943,0.59027433,0.34293407,0.52059007,0.3233933,0.43848813,0.31887457,0.4658751,0.33781508,0.42968753,0.31860727,-0.01980074865175227,0.08311160857057298,0.021088445559716788,0.07446717758929247,0.043733401016179126,0.14783562159916608,0.010079340356806821,0.10370383245195247,0.0072398616047472395,0.04200574316638331,-0.010548514079191993,0.04283819428700476,[92.28515625],11,2.6802289603960396,0.053690005,0.07058613,1.1532481,0.24573031,0.0049824016,1.0204536e-05,0.17533015,0.09537419,20.78382826612206,11.377414557713868,2979.594794702159,1059.9678064820416,3490.1286947114977,1417.4443948730386,-4.9483128,0.47717616,0.38790253,-0.00013252388271359946,7.054733,8.108764,0.002007387158325444,0.0035629173940884495,0.1336086,0.2017792,396.76621685018284,427.5585292083336,65.23668639053254,1996.904880960868,2.579144856931678,6.001059843659332,1931.6681945703356,1.0,-4.019430907011282,1.0776082011278447,3.01043,5.348839,4.104126984126984,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/RAVDESS/RAVDESSData/Actor_01/03-01-05-02-01-01-01.wav,03-01-05-02-01-01-01.wav,Actor_01,audio-only,speech,Anger,Strong,kids,01,male
-647.6113,156.22545,-850.93,-400.28207,-0.06542807,-1.5721879,63.878666,66.116356,-61.005966,225.57317,0.4979477,-0.6143818,-3.1636646,27.102978,-73.99031,93.35692,-0.14732027,1.4705067,11.068919,25.306932,-46.12275,82.88316,0.43021995,0.25461364,3.8989284,20.63805,-59.500366,46.585854,-0.4807632,0.26474714,0.49626222,14.196773,-42.13543,38.118965,-0.62574273,1.588079,-7.210091,16.231094,-74.72672,25.504673,-1.7957509,4.4185133,-7.3021765,11.537739,-38.912132,31.336084,-0.1088908,0.5042851,-13.785376,14.465902,-50.44111,12.97909,-0.41111416,-0.96500945,-4.531086,10.965191,-34.817505,26.4441,-0.3416099,0.37445617,-0.6824674,10.126081,-31.400488,27.30904,0.071096495,0.38259792,-7.298968,12.596064,-42.65364,12.331198,-1.1546623,0.5082054,-1.648921,9.822034,-21.028715,47.75318,1.6267761,6.8219595,2915.011266179689,1525.5618960043385,0.11847001689852973,5492.900916916167,2832.573991251863,2470.4716287988044,722.8473919716031,0.2673705323727545,0.22587264226413326,0.8394354074490877,0.47828537,0.3347645,0.46777737,0.34900233,0.48548168,0.35641888,0.46745807,0.32313672,0.48390663,0.30786246,0.50261754,0.3039326,0.4963768,0.310874,0.4830499,0.30047742,0.4839866,0.28636253,0.509893,0.28517944,0.5652319,0.32687706,0.5100922,0.3346882,-0.034734228324357574,0.04712533664707368,0.0156959572655998,0.04831350092282489,0.019332396942831686,0.08703421258705088,-0.0022894325917089666,0.09712158596163936,-0.000472120745352196,0.03016908818851662,0.012970926842379058,0.031055898472814487,[95.703125],13,3.358720487433359,0.0026046934,0.0035555114,1.4692972,0.015530375,1.2641661e-05,1.3897677e-06,0.007998219,0.0043626386,20.120696827975273,11.948581626961246,2757.2449312192566,1424.9270312123153,3025.152540020106,1599.9749652130959,-3.434334,1.3497574,2.323977,-5.916219886370553e-06,15.6938505,23.980408,0.0019710129376948613,0.00335995448927402,0.004832001,0.007669158,417.1956003752419,528.0132837296325,65.23668639053254,2205.0,1.8056528212443745,2.069440850333418,2139.7633136094673,1.0,2.747917926396548,1.2656252445006377,0.114957795,0.24590029,3.8705215419501133,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/RAVDESS/RAVDESSData/Actor_01/03-01-07-01-01-01-01.wav,03-01-07-01-01-01-01.wav,Actor_01,audio-only,speech,Disgust,Normal,kids,01,male
-699.10425,183.15009,-881.4796,-390.01706,0.30763403,-1.6532453,65.49692,67.88316,-21.097992,209.37448,0.5718934,-1.1367515,-1.0995513,25.494,-75.43431,78.71382,-0.04729876,1.0739999,16.531912,21.63001,-27.08781,68.125885,0.57349646,-0.4809842,8.523047,16.512787,-38.559444,60.098373,0.39405805,1.091886,-0.46712247,15.339289,-48.900223,31.567194,-0.9538382,1.3466511,0.1738202,10.5270405,-33.08456,27.913116,-0.7563912,1.7770796,-7.589049,12.278776,-35.63666,14.740969,-0.7644775,-0.6328304,-10.304403,12.848599,-47.29753,6.231389,-0.8519398,-0.4791143,-5.5254693,8.287667,-29.072521,16.29269,-0.5646468,0.20631027,-1.7454497,8.574749,-39.489746,18.599346,-1.4165541,4.3486238,-2.0158567,7.979971,-25.294312,19.263996,-0.43726155,1.1714368,-1.7528474,7.6289487,-20.942322,22.558239,0.24577145,1.6718059,3081.1958717665743,1567.3301743233333,-0.040086434847536455,5996.158114346591,2894.0207944294743,2597.2815832002834,765.5452809874375,0.3448914366883117,0.2654118814141896,0.2577543468347439,0.53384936,0.3031173,0.57143086,0.31954488,0.56989586,0.34564075,0.57025146,0.32060367,0.58193773,0.3155463,0.52621347,0.32163805,0.48719767,0.30853942,0.51550925,0.2980819,0.5889122,0.28549933,0.56038713,0.2838314,0.5047552,0.30741307,0.48117065,0.30449122,-0.05449607153164469,0.07582636229868733,0.010412743462798746,0.0394033778574296,0.007125587529175699,0.09497629578279447,0.024030240119567437,0.12576501853302346,-0.010152723066951239,0.03777217292922282,0.017199634014955435,0.020377972730643904,[123.046875],9,2.5208322747827854,0.0020018967,0.0028394293,1.4493657,0.011240728,8.062359e-06,2.3814266e-06,0.006147807,0.0035749713,19.81151456209903,11.936963355072079,2867.132679101016,1598.5841236418885,3233.9260381619542,1600.4736043492412,-4.4252944,1.0435052,1.3252387,-5.236517822845356e-06,12.466926,17.06353,0.002215756262572039,0.0037318646987770238,0.004004468,0.006950717,317.177080646804,461.9516141992287,65.23668639053254,1686.83270072241,2.0194471241642904,2.5357620987806673,1621.5960143318775,1.0,1.270207735354957,1.4564470208788332,0.09027756,0.15652432,3.570249433106576,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/RAVDESS/RAVDESSData/Actor_01/03-01-04-01-01-02-01.wav,03-01-04-01-01-02-01.wav,Actor_01,audio-only,speech,Sad,Normal,kids,02,male
-605.889,200.95735,-801.26263,-288.44937,0.19861567,-1.8056566,50.817352,65.640144,-70.86217,178.41,0.43538162,-1.2251835,-4.1009364,21.855806,-65.05844,52.94338,-0.46373698,0.91697,13.333532,19.944304,-23.835304,69.44196,0.9224112,-0.08396649,2.3143537,14.248703,-50.484238,39.597458,-0.44751602,1.8422208,-3.1249647,16.936165,-46.346313,35.017246,-0.7371001,0.34902024,-6.993569,12.176869,-43.64451,23.103085,-0.79706895,-0.0055878162,-8.871109,15.496387,-48.820015,22.957874,-0.8359922,-0.08602214,-15.973222,21.904255,-67.008545,19.519112,-0.65994126,-1.0450137,-3.851796,8.971663,-34.979736,19.66483,-0.92672426,1.0403204,-1.3603265,10.247009,-47.00003,28.341059,-1.6379929,6.2573023,-6.091595,10.262933,-37.289284,16.624733,-1.0885521,0.73193765,0.43329066,9.760955,-26.05859,39.409637,0.5580573,2.6779695,3335.6538320852037,1624.5550905990779,-0.11222559391961426,6205.307404891304,2803.1616192989754,2577.834115994845,680.4539901714635,0.3668296292701863,0.2928219900720244,0.27428079738136724,0.57496566,0.3271536,0.56441593,0.32010028,0.5672082,0.34420112,0.5680878,0.34575486,0.5164887,0.32014155,0.48581937,0.32688525,0.4882071,0.3412689,0.49832645,0.3278166,0.48894212,0.31249654,0.4927971,0.30416176,0.57964367,0.34710744,0.6002936,0.33413777,-0.02972126479269533,0.06767188407147429,0.00975819530374578,0.0534320744209847,0.027625697890515964,0.10467540844366441,-0.004449630381759704,0.10186675675973172,0.004710448982943435,0.029327702957412632,0.02047991405981627,0.026498030181543418,[184.5703125],11,2.9434607963302306,0.006124251,0.007581038,0.83177334,0.02506857,5.7472134e-05,1.3452752e-06,0.018048374,0.0121370135,20.678142405956525,12.310653916277076,3005.268192863553,1651.7557784059925,3436.6697360692633,1628.9211642790333,-5.715908,0.8380564,1.0092868,-1.4700397878014672e-05,8.378929,11.098471,0.00205577206979283,0.003583765202008426,0.011161861,0.01803427,290.9107847154994,426.80287946738156,65.23668639053254,2034.894537167019,2.5543593123283417,5.3895416683620425,1969.6578507764866,1.0,-0.38851284864428126,1.4671263558847885,0.34864143,0.5822812,3.737097505668934,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/RAVDESS/RAVDESSData/Actor_01/03-01-04-02-02-02-01.wav,03-01-04-02-02-02-01.wav,Actor_01,audio-only,speech,Sad,Strong,dogs,02,male
-520.7532,172.73051,-719.5903,-229.34575,0.075317934,-1.6391537,43.31225,68.77999,-137.39188,175.92825,-0.23061854,-0.106562614,9.500733,24.94323,-58.025826,62.544052,-0.11024071,-0.19202304,-0.62784654,22.10825,-70.72791,51.26004,-0.8851644,1.5697551,-7.1643276,23.637672,-76.00022,37.631035,-1.2167728,1.2297659,0.42984307,16.31056,-49.965157,43.996002,-0.7414606,1.5648046,-12.050826,16.009333,-53.96251,26.695503,-0.5195365,-0.4049332,-15.976675,17.350845,-62.895664,3.8519557,-0.8396503,-0.3066814,-5.460499,8.851401,-41.95749,8.991307,-1.3431437,1.857379,-8.713773,11.487643,-40.565666,17.095047,-0.8303821,0.06548619,-8.803649,13.573851,-53.342438,21.632795,-0.81123906,1.0976,-2.977452,9.788562,-22.98195,29.501759,0.30691192,0.72300816,-7.663945,10.703896,-35.7227,31.596992,-0.090643555,1.2501822,3098.780425230768,1724.2336624567233,0.7825095757927402,5852.081088362069,2717.580324547546,2640.679064023527,504.7368866724832,0.2851450251436782,0.2506775933541866,0.5683343513182769,0.4984679,0.34143248,0.47696808,0.30788377,0.4624023,0.32475972,0.49520698,0.31444007,0.5384613,0.33891168,0.54390234,0.33765638,0.46492282,0.29883653,0.46088892,0.33566126,0.36365455,0.29046014,0.3694686,0.31008443,0.4355476,0.31145316,0.47971267,0.32247585,-0.006327313941355022,0.06862916469116871,0.024674484750644664,0.08656220887863984,0.03196919205245229,0.11937288149226433,-0.017545926443504972,0.10443486205645168,0.0034997205668678647,0.039362055109036766,0.005699419919615563,0.03811567037945902,[184.5703125],12,2.9721988205560232,0.0112784365,0.015338615,1.4392349,0.055856574,0.00023527311,2.9923867e-06,0.040381346,0.016564677,21.675037842035767,11.991957610104246,2811.5298152456403,1567.9649004915923,3291.204143889065,1814.0529637593847,-4.770411,1.2004701,1.2675412,-2.258553104469914e-05,17.31028,20.636833,0.0023867302422680356,0.003921276130029168,0.021298677,0.030891135,434.53523526859175,592.0305191697522,65.23668639053254,2205.0,1.9494851396611952,2.139263406134698,2139.7633136094673,1.0,-3.269717836201089,1.3624453694846503,0.62457633,1.1882921,4.037414965986395,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/RAVDESS/RAVDESSData/Actor_01/03-01-07-02-02-01-01.wav,03-01-07-02-02-01-01.wav,Actor_01,audio-only,speech,Disgust,Strong,dogs,01,male
-539.19855,192.70029,-746.09094,-234.90929,0.1123147,-1.7213732,49.672794,63.136925,-103.36986,192.62292,0.1956348,-0.7130685,-8.996246,26.504995,-88.74022,61.680984,-0.19558808,0.81337094,6.914048,17.736677,-33.027943,68.51813,0.5157424,0.5341382,-1.1240028,21.183884,-64.912186,45.778954,-0.9597979,1.3799963,-3.3295467,17.784428,-52.788593,35.90254,-0.676885,0.9168606,-9.793234,15.950927,-60.672894,25.35852,-0.7143315,0.08360481,-9.628174,15.831577,-49.33137,23.45187,-0.7077942,-0.35246778,-17.208342,19.69425,-66.231125,9.256993,-0.53889865,-1.0044008,-7.140059,11.913086,-42.113823,20.580309,-0.65336204,-0.25082874,-1.7678518,8.711882,-34.123093,21.850925,-1.0785037,2.0173469,-7.01247,12.102665,-47.42459,12.273766,-1.3174081,0.88425136,-0.2807721,9.091819,-24.236036,40.58944,0.9832512,4.6252747,3185.7990859286683,1560.364799025059,0.33276854661233024,5961.21395335478,2620.9519553361656,2534.1048043569976,656.3773645163823,0.336767578125,0.2737643907234387,0.3525979715786669,0.49577978,0.31883863,0.4799312,0.3128262,0.48439273,0.32545802,0.4888793,0.3040389,0.54449034,0.32334617,0.52605045,0.31056157,0.49846098,0.29625034,0.5506099,0.34381858,0.52071196,0.34443393,0.44127923,0.32081613,0.47645408,0.35427547,0.5088471,0.3409143,-0.030558688656693613,0.08018319920661011,0.02118044336615584,0.06122155151197883,-0.0007076012025428291,0.10076423567485336,-0.018720135059865622,0.12370997333461509,-0.00044317921163001856,0.03969613263227654,0.0011450100840782165,0.029628894897909895,[95.703125],13,3.301772694287985,0.010219879,0.012680198,0.9394765,0.043504797,0.00016078741,3.5057358e-06,0.029815175,0.018923424,21.488629080309057,11.99220954753311,2839.8487848110594,1450.000944566279,3380.394198073448,1653.4190309093665,-3.8969889,0.73042095,0.7281192,-2.4816494479380288e-05,8.74357,13.177723,0.0016085985191153294,0.003480178621059095,0.019678302,0.031315215,444.65592725476733,587.6694224221596,65.23668639053254,2205.0,1.8562066233578298,2.2015437632339427,2139.7633136094673,1.0,-1.643356377163739,1.3216273221639077,0.63073665,1.0130509,3.937278911564626,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/RAVDESS/RAVDESSData/Actor_01/03-01-03-02-02-02-01.wav,03-01-03-02-02-02-01.wav,Actor_01,audio-only,speech,Happy,Strong,dogs,02,male
-631.407,185.44063,-806.2734,-320.36795,0.33993763,-1.665754,62.999477,67.927635,-16.135462,212.07869,0.6077805,-1.0244806,-5.81921,27.446724,-89.60941,69.660835,-0.42479724,0.78679204,15.460053,20.625162,-15.569088,70.12842,0.91153604,-0.21960402,6.5266376,17.871485,-47.318726,43.019287,-0.60746515,1.0035591,-1.5888863,17.005108,-47.812794,46.582104,-0.23000178,0.59023786,-6.5974183,15.471493,-54.89827,25.519485,-1.0419652,0.9184506,-4.806329,11.885175,-37.543076,19.875322,-0.6490057,-0.007126808,-13.677246,19.879639,-60.662495,15.496951,-0.70280814,-0.9984114,-1.3645005,10.606785,-31.901482,23.315638,-0.6490948,0.9059758,0.13336559,8.942718,-33.481224,19.904896,-0.6990878,1.890286,-6.366864,12.541375,-42.982826,14.281634,-0.8857703,-0.03345442,3.4054472,10.748349,-25.703205,47.135864,0.6478735,2.7350664,2897.8822970792494,1552.4376463670624,0.04243357855540323,5634.44970703125,2948.2107284193116,2486.1537352266273,804.306611325476,0.33329427083333335,0.2882876025852219,0.4880438822343292,0.608418,0.28587192,0.6130385,0.32015082,0.56044614,0.29573774,0.581893,0.3018717,0.565898,0.3161578,0.560583,0.3317295,0.49984568,0.30843467,0.51191384,0.29024175,0.50351095,0.29835838,0.510106,0.31546113,0.5799,0.325219,0.6164542,0.30607903,-0.03170964853339086,0.04272725135250471,0.010480394465817949,0.048462793234413215,-0.009348707768756069,0.100685091453773,-0.0017287125966205046,0.05962830236255311,0.015485882750288896,0.027821129239018347,0.008626317064821143,0.02376942289471928,[135.99917763],11,3.1698838166681917,0.0049052676,0.0066985427,1.217086,0.025785955,4.4870478e-05,2.4863127e-06,0.014984921,0.009002751,20.44707688337277,11.89026028880569,2660.788523280415,1601.0195767690445,3081.2435885416094,1622.1452555962521,-5.901315,1.3627217,2.3699,-1.3384985330877775e-05,36.75547,143.89478,0.0026744328345015673,0.004684908195460929,0.01026597,0.0173083,411.7174977623687,603.2377817135138,65.23668639053254,2043.3490544462286,1.872804328030551,1.898450179540573,1978.1123680556962,1.0,2.570196398332409,1.4651740210019892,0.25765598,0.48161238,3.47015873015873,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/RAVDESS/RAVDESSData/Actor_01/03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,Actor_01,audio-only,speech,Happy,Normal,kids,02,male
