mfcc_1_mean,mfcc_1_std,mfcc_1_min,mfcc_1_max,mfcc_1_skew,mfcc_1_kurtosis,mfcc_2_mean,mfcc_2_std,mfcc_2_min,mfcc_2_max,mfcc_2_skew,mfcc_2_kurtosis,mfcc_3_mean,mfcc_3_std,mfcc_3_min,mfcc_3_max,mfcc_3_skew,mfcc_3_kurtosis,mfcc_4_mean,mfcc_4_std,mfcc_4_min,mfcc_4_max,mfcc_4_skew,mfcc_4_kurtosis,mfcc_5_mean,mfcc_5_std,mfcc_5_min,mfcc_5_max,mfcc_5_skew,mfcc_5_kurtosis,mfcc_6_mean,mfcc_6_std,mfcc_6_min,mfcc_6_max,mfcc_6_skew,mfcc_6_kurtosis,mfcc_7_mean,mfcc_7_std,mfcc_7_min,mfcc_7_max,mfcc_7_skew,mfcc_7_kurtosis,mfcc_8_mean,mfcc_8_std,mfcc_8_min,mfcc_8_max,mfcc_8_skew,mfcc_8_kurtosis,mfcc_9_mean,mfcc_9_std,mfcc_9_min,mfcc_9_max,mfcc_9_skew,mfcc_9_kurtosis,mfcc_10_mean,mfcc_10_std,mfcc_10_min,mfcc_10_max,mfcc_10_skew,mfcc_10_kurtosis,mfcc_11_mean,mfcc_11_std,mfcc_11_min,mfcc_11_max,mfcc_11_skew,mfcc_11_kurtosis,mfcc_12_mean,mfcc_12_std,mfcc_12_min,mfcc_12_max,mfcc_12_skew,mfcc_12_kurtosis,mfcc_13_mean,mfcc_13_std,mfcc_13_min,mfcc_13_max,mfcc_13_skew,mfcc_13_kurtosis,spectral_centroid_mean,spectral_centroid_std,spectral_centroid_skew,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,zcr_mean,zcr_std,zcr_skew,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,tonnetz_1_mean,tonnetz_1_std,tonnetz_2_mean,tonnetz_2_std,tonnetz_3_mean,tonnetz_3_std,tonnetz_4_mean,tonnetz_4_std,tonnetz_5_mean,tonnetz_5_std,tonnetz_6_mean,tonnetz_6_std,tempo,onset_count,onset_rate,rms_mean,rms_std,rms_skew,energy_entropy_mean,energy_entropy_std,harmonic_centroid_mean,harmonic_centroid_std,percussive_centroid_mean,percussive_centroid_std,harmonic_to_noise_ratio,f0_mean,f0_std,f0_min,f0_max,f0_skew,f0_kurtosis,f0_range,voicing_ratio,duration,sample_rate,file_path,filename
-266.28897,123.935936,-449.44525,-17.579964,-0.08371933,-1.2171239,108.554596,39.694668,20.307957,199.44244,0.19748883,-0.4055059,-2.858588,46.289185,-102.51452,65.013275,-0.28999326,-0.8318131,48.0036,29.507734,-19.64644,123.71106,0.2272266,-0.08636713,-4.9948835,27.306618,-70.20735,32.087936,-0.6816774,-0.7202363,-3.0345697,25.521568,-61.337147,56.318314,-0.31536198,-0.44352722,-16.416988,21.19792,-70.596146,19.832241,-0.5979788,-0.33618236,0.56986177,14.817622,-51.506798,28.885967,-1.0988106,1.9497004,-14.380786,14.232887,-44.856403,9.973961,-0.14383167,-1.0378381,0.0797768,9.359929,-23.437027,23.671686,-0.28182954,0.2825563,-7.270997,10.523891,-33.8562,18.07893,-0.14380847,-0.2994871,-3.6666882,8.211641,-20.139397,21.893345,0.7705354,1.0271459,5.570724,10.892748,-20.592993,26.01802,-0.16520168,-0.6576333,1754.4761780666408,965.0905487223702,1.7130180173872196,3350.0537109375,1614.6215855289984,1701.8141040869475,433.03254373418144,0.0958147321428571,0.0838909725856102,2.535684572769237,0.42144176,0.3763596,0.3280669,0.28329208,0.29456696,0.27449802,0.264814,0.25823992,0.30592215,0.31038216,0.2418576,0.22733982,0.28678465,0.3015065,0.33270848,0.31385753,0.39122137,0.3252097,0.49369612,0.38513577,0.32565403,0.23436241,0.24978341,0.22900006,0.0323199828539412,0.0658761440046185,0.0219570089725576,0.0638722036485121,-0.0372927771615135,0.1023493222036278,0.0126249650936745,0.1549807101951802,0.0020899268110433,0.035647387238435,0.0124337369487399,0.0433232952184129,117.45383523,10.0,4.10545718594649,0.09614645,0.11030798,1.2361572,24.456822942975855,17.467661724000255,1227.4838047285448,340.2515056540249,2023.94490456583,1306.1537991312252,0.18384807,191.34847084311065,39.257695483670624,136.21039964151845,263.1411467822288,0.5845316974634522,-0.8087966469654089,126.93074714071037,0.580952380952381,2.43578231292517,22050.0,/Users/will/Projects/SpeechEmotionCS3540/CREMA-D/AudioWAV/1022_ITS_ANG_XX.wav,1022_ITS_ANG_XX.wav
-346.4098,83.3447,-511.341,-151.9673,0.1303512,-0.29178095,125.38154,42.7693,36.794266,206.38971,0.09366891,-0.7633188,10.759255,37.981335,-108.3499,68.462585,-1.3156204,1.4997044,50.35752,31.60123,-34.90393,118.54743,-0.61432934,0.855489,-17.275204,20.52631,-58.357647,19.290792,-0.03865284,-1.2770528,10.6893215,21.838257,-43.054626,63.25332,0.031213824,0.1412611,-18.113935,16.063948,-62.365334,6.582163,-0.5482971,-0.49792528,5.7685313,12.762591,-31.44553,38.658325,-0.33292672,1.439498,-11.577804,9.601421,-32.677418,8.680441,-0.020612113,-0.77810216,-1.1049453,8.342384,-22.890272,13.398181,-0.6853836,0.06875348,-0.040269647,7.222221,-20.47846,16.478725,-0.3507506,-0.018146992,-5.474338,7.714175,-28.00409,10.822245,-0.44872373,-0.19069552,2.4161034,10.813551,-32.439407,32.091087,-0.4042177,0.87204266,1624.5018244837336,1058.8950576271195,1.8494290747911368,3325.968862680289,1897.725345378059,1722.0488240644515,569.9173809143506,0.0913837139423077,0.1031193420269814,2.620552303407313,0.3848955,0.30079812,0.31049657,0.25925612,0.30034897,0.26294568,0.37063122,0.32455662,0.3055076,0.25549972,0.29193765,0.28127462,0.39872307,0.36372215,0.35613263,0.30973503,0.38660216,0.36382785,0.45568416,0.3830706,0.44219384,0.3427526,0.4405744,0.32583785,0.0231821625471087,0.0500991282368646,0.0381416850138687,0.1549185965222188,-0.0038603243776243,0.1154490469317928,0.0254086853004987,0.1770391380336023,0.0213084382914399,0.0261063008252802,0.0375497017575142,0.0782002430377441,123.046875,11.0,3.662956642554027,0.0387974,0.03177109,0.56998473,23.63445362087497,17.932245989635337,1156.458566170798,370.9114328338412,1957.924703893333,1412.1360523295418,0.9841848,201.62350411479233,60.0892049568258,123.47082531403102,318.3992322368831,0.4253912427570806,-1.0470707597059024,194.9284069228521,0.6461538461538462,3.0030385487528344,22050.0,/Users/will/Projects/SpeechEmotionCS3540/CREMA-D/AudioWAV/1037_ITS_ANG_XX.wav,1037_ITS_ANG_XX.wav
-421.4845,36.98129,-493.2527,-312.9449,0.9510467,0.5076933,140.3719,19.000975,81.1698,183.77371,-0.678391,1.1916785,2.380721,18.926613,-70.56645,29.96515,-2.1526403,4.543661,56.471306,14.317977,5.6911297,80.085495,-0.92256224,1.8219194,-15.065516,9.002405,-45.894165,1.5455158,-1.2559227,1.4799404,27.199568,11.622196,3.1925836,60.5315,0.6681051,0.72335935,-16.744843,10.679039,-38.064587,-1.060237,-0.55638725,-0.96686625,15.308786,8.005204,-5.352433,35.97634,0.006717402,0.20102596,-14.1276455,8.773739,-32.89143,5.621999,0.03663418,-0.5122063,6.7795534,7.7147284,-5.62105,33.2452,1.3535795,1.8784528,-2.0502126,4.5955534,-13.277816,11.054251,-0.11169052,-0.054378986,-8.98668,3.6244001,-17.675041,-0.16139877,0.04924416,-0.64151907,5.0728707,5.230838,-7.633447,18.94866,0.63916314,0.2657683,1406.5155337252847,563.1730658007228,2.647046014477405,3186.0858623798076,1289.7979165244296,1848.6457138945225,344.60066568263625,0.0603168194110576,0.0429898167288591,3.244598257191822,0.24575217,0.19202757,0.24871199,0.2240406,0.26895303,0.25796467,0.32423303,0.23507372,0.37551022,0.26268482,0.44263488,0.31975845,0.49395406,0.31571984,0.42552105,0.23249786,0.52707547,0.33970553,0.5989492,0.33760893,0.5451291,0.33907905,0.35030884,0.2545186,0.0058382028027505,0.0464469830834189,-0.0212575440391875,0.059006980200451,-0.0317575084224635,0.0777319137743565,-0.0701840548382074,0.0895488950735129,0.0115447435338403,0.0286465159257917,0.0048402956051108,0.0322442398929021,172.265625,10.0,4.162497876276594,0.008989531,0.005156884,1.532497,22.39007582345312,19.124565454941894,1167.735589994929,143.65812237250563,1575.4110976356887,855.8109579948919,1.6457531,181.73178584033937,29.80397164502954,113.22324603078413,234.43211035826653,-0.8589905394249837,0.4527975827595556,121.20886432748242,0.4230769230769231,2.4024036281179137,22050.0,/Users/will/Projects/SpeechEmotionCS3540/CREMA-D/AudioWAV/1060_ITS_NEU_XX.wav,1060_ITS_NEU_XX.wav
-413.22543,50.74043,-499.65802,-278.79034,0.47191024,-0.37494707,140.57637,28.177567,69.47742,198.1207,-0.13680884,-0.3694322,12.731216,24.6305,-73.68772,40.723774,-1.6019028,2.1838112,58.782795,19.602497,5.9058213,110.583405,-0.0005338771,1.2275062,-16.602026,13.347273,-48.843094,3.5614955,-0.60032463,-0.7407799,17.446161,18.811434,-20.807858,56.05812,-0.21704262,-0.8849032,-17.629221,11.769537,-45.53489,1.9023273,-0.517223,-0.69569206,16.20209,8.480979,-4.4545307,37.69276,-0.04474051,0.13852477,-9.718295,11.470078,-43.991756,14.323235,-0.9860093,1.0507698,4.057038,7.385901,-12.034313,21.750862,0.006334183,-0.2584653,-1.0608615,5.1540923,-10.288931,13.066759,0.58272403,0.15154767,-6.859608,6.3039722,-29.39459,7.4807234,-1.0268506,1.7389259,6.4356475,5.9359636,-9.087587,23.774525,0.4378747,0.30909348,1370.133885976145,682.4719864384953,2.5810948838840697,3006.9580078125,1512.986713315786,1780.0819516850386,435.14650720211506,0.0623604910714285,0.0618356073913571,3.280463602138427,0.39638782,0.28136876,0.38223633,0.28289127,0.33635485,0.28213587,0.32445362,0.26595104,0.40763986,0.30435878,0.42483756,0.2939071,0.45660502,0.3316654,0.42217386,0.3079396,0.4249477,0.32164586,0.5133935,0.34583196,0.4919648,0.3396575,0.39141482,0.27413803,-0.0145750946140536,0.0413832266982853,0.0010193053905527,0.0570038518690135,-0.0400875176347442,0.0394645196918334,-0.0514754431233524,0.0799293583231263,0.0083922310180124,0.02996802799326,-0.0100484549644446,0.0299017276291064,161.49902344,11.0,4.516002904541138,0.011598889,0.007131814,0.84169006,22.58576455626851,18.92056068313047,1079.2658548814654,121.1692432699476,1591.904985441162,1058.0018419691417,0.76261324,177.0144410526242,43.792850732113486,108.73654223881856,260.1187129259726,0.103942910570195,-0.932418341300596,151.38217068715403,0.4,2.43578231292517,22050.0,/Users/will/Projects/SpeechEmotionCS3540/CREMA-D/AudioWAV/1075_ITS_NEU_XX.wav,1075_ITS_NEU_XX.wav
-415.93317,61.064007,-487.54218,-272.7701,0.7785602,-0.918411,136.75941,19.811579,70.06454,186.8505,0.25804195,1.4453917,14.094659,30.064035,-66.82323,43.015327,-1.2606336,0.31700325,60.601498,18.192825,31.850712,124.57575,1.8279227,2.9006996,-2.8129876,8.576171,-35.978615,17.218708,-1.3836784,3.1303802,16.033842,16.528671,-30.564346,51.723457,-0.9616688,0.19286513,-7.005336,11.502839,-47.547184,19.445633,-1.3915282,3.1900911,6.752667,9.166615,-18.156864,31.106104,-0.59626985,0.18936634,-11.604404,9.581339,-33.79368,4.4459605,-0.62772715,-0.8628371,4.1741314,5.004461,-7.0691543,26.414486,1.3395636,4.273443,-2.2024457,5.6568346,-16.817652,7.362151,-0.610615,-0.39390087,-3.9800513,4.7555633,-18.638165,3.7464056,-0.9127671,0.3896203,7.0559998,6.9208527,-5.3413506,26.309328,0.9063956,0.18565512,1164.5957185109296,422.8817354162457,4.798359163151507,2682.2730279737902,911.6403701627368,1686.1015085955812,302.92832271501925,0.0413778981854838,0.0281333904649515,4.120666115188171,0.3489719,0.2583244,0.36005583,0.27957445,0.3390955,0.2568254,0.37908322,0.3033031,0.3642073,0.27863887,0.37334377,0.29171073,0.44816467,0.2912866,0.48373494,0.33682168,0.38771313,0.25656638,0.4541228,0.3276891,0.5658385,0.37803903,0.43881702,0.30633864,-0.0163695467128065,0.0892945451909555,0.0209224555911262,0.074358750691439,0.0111586025825907,0.1333260079682146,-0.0511767518586454,0.0690906502011476,0.0238736474862569,0.0341702422390521,0.0179585461249395,0.0355781078973734,143.5546875,10.0,3.4848436956727884,0.01492944,0.013538118,1.4833272,22.815815116481648,17.955680900325703,924.0286063067724,126.80097322514108,1423.5717723751827,669.5874097980736,6.3467836,137.47010164484178,39.524767721115175,70.10083450255941,194.86885420251932,-0.1168270134621056,-1.2096770176584095,124.76801969995992,0.7419354838709677,2.8695691609977323,22050.0,/Users/will/Projects/SpeechEmotionCS3540/CREMA-D/AudioWAV/1073_IOM_DIS_XX.wav,1073_IOM_DIS_XX.wav
-434.8321,52.60891,-516.2781,-317.9171,0.8292502,-0.6745589,151.62708,21.261242,128.36807,202.71677,1.1935393,0.051713705,11.40743,21.641928,-53.546196,37.730034,-1.276093,0.81976175,59.741123,15.838736,19.516064,107.32561,-0.076363035,1.637775,-11.191586,15.921374,-64.60552,15.460567,-1.5076325,2.1873894,27.14443,10.373744,-3.4811149,40.361214,-1.099903,0.27414155,-19.864758,10.627064,-51.018494,-7.7621164,-1.4131658,1.0737653,14.949748,6.7154202,-5.4049797,30.892988,-0.5440906,0.77329373,-12.088719,8.040719,-36.48928,3.240418,-0.7167266,0.17642522,2.3508966,6.537765,-18.06791,11.702658,-1.2489003,1.2072716,-1.8139676,5.767283,-15.913961,16.588163,0.013828551,0.31172633,-3.9392757,5.312201,-17.848774,7.263335,-0.15250902,0.001916647,5.2312984,5.164454,-3.655649,22.736382,1.1340392,1.3640203,1071.7853006314258,130.93468856159328,-0.0499568300009488,2326.8819173177085,661.7458438887444,1679.4603549793956,231.51741837695775,0.0368516710069444,0.0095543410708575,0.3786547329549961,0.27225113,0.1828814,0.24915315,0.20343965,0.28827277,0.23180977,0.3049328,0.23217401,0.39672512,0.28472733,0.37014562,0.26197818,0.40756574,0.24421673,0.49534857,0.300304,0.52195126,0.30857578,0.596066,0.30098912,0.6584824,0.3200641,0.44932804,0.2608186,0.0086313570825443,0.0406753116287023,-0.0037581772201002,0.0472589131460306,-0.0604154001576486,0.0704807207485803,-0.0372181961105935,0.0728637086726327,0.0139123541374905,0.0223899004516384,-0.0014987673300007,0.0247167285606807,161.49902344,12.0,4.7951287580870225,0.010602645,0.0065068817,1.0550771,22.225814367156932,18.360631797379668,951.9112904037172,104.02460105833664,1212.694786737391,245.4396751780435,0.949971,110.83768952857672,12.883425334610097,73.84148765291448,140.20166900511882,-0.2350220703516463,1.3634939812098177,66.36018135220434,0.5555555555555556,2.5025396825396826,22050.0,/Users/will/Projects/SpeechEmotionCS3540/CREMA-D/AudioWAV/1066_IOM_DIS_XX.wav,1066_IOM_DIS_XX.wav
-411.06216,53.233047,-517.1809,-300.20786,0.085427515,-1.0375135,142.59055,25.9749,98.04067,192.14133,0.103730105,-1.2528989,7.2056284,24.400518,-55.325577,36.81179,-0.71717596,-0.3894794,38.33791,20.681957,-12.018195,79.41643,-0.45863232,-0.48072243,-7.587275,15.34002,-41.215557,18.95502,-0.5440703,-0.89282393,18.395035,12.466633,-16.453228,46.505394,-0.46366453,-0.15672183,-8.327283,10.717286,-34.56411,14.094521,-0.50365907,-0.4549563,7.930837,6.1353903,-8.859028,24.843884,3.3376156e-05,-0.07975292,-8.952816,7.2672744,-26.824799,5.28358,-0.5592629,-0.67311096,-0.23451921,8.416523,-21.478405,17.956455,-0.19895214,-0.4435842,0.11715164,6.3020573,-20.359037,9.853043,-1.2127185,1.1217327,-1.5396178,7.0321813,-16.121479,21.107662,0.2908596,0.5042064,5.8928385,6.733362,-11.228144,27.739588,0.26320645,0.8040862,1112.2425054195155,250.15601126812945,0.2485239976913354,2364.2431640625,1121.5241824173488,1548.4876867202713,374.4132052662707,0.0436383928571428,0.0155351152810895,1.237943749508667,0.30301243,0.29149517,0.32007253,0.30813366,0.22195667,0.20526728,0.26419288,0.27656257,0.25230655,0.25022948,0.22480887,0.26283592,0.28368065,0.3160841,0.39126566,0.32623616,0.49437413,0.33382997,0.56363785,0.3944051,0.3367295,0.2788652,0.2393199,0.25060293,0.0130988835821939,0.0858684465047662,-0.0020901428556916,0.0668505304748809,-0.0977020877457805,0.1289646195096701,0.0224045649170869,0.1151968282430423,0.0226431857731189,0.0461417878335154,0.0203020163456954,0.0432233967233475,123.046875,11.0,4.516002904541138,0.018304147,0.016134812,1.1967549,23.71100779828441,17.661216608116767,934.1501383618856,210.38599994955325,1401.701306477883,299.10904548643845,6.1023216,212.65262585768127,63.25493167630387,95.76056196257365,323.96475278211557,-0.2719967802871514,-0.6930417842762089,228.2041908195419,0.780952380952381,2.43578231292517,22050.0,/Users/will/Projects/SpeechEmotionCS3540/CREMA-D/AudioWAV/1078_IWL_SAD_XX.wav,1078_IWL_SAD_XX.wav
-390.94662,91.76933,-529.77625,-245.35445,0.2523394,-1.7291847,107.02038,21.287933,42.719234,159.71875,-0.19936371,1.1510291,21.904318,32.180367,-50.419056,56.180862,-0.5552524,-1.2097764,47.536583,18.215315,12.734726,111.532684,1.24781,2.6154532,-11.656418,28.917841,-81.702545,19.499542,-0.9129023,-0.3297131,15.020744,14.075372,-17.890472,57.665855,0.20305619,0.80932546,-8.122257,14.503433,-56.27166,7.8902645,-1.667142,1.9954276,9.970819,8.257779,-2.970737,38.118256,1.2616425,1.1135788,-8.81037,10.84293,-43.38916,8.8510895,-1.1038746,0.7228589,-1.3692781,5.7535963,-16.61009,15.280989,-0.024678692,0.15763783,-6.694961,9.56764,-33.414413,7.4106846,-0.92715263,0.015792131,-7.205904,7.701545,-23.987206,7.611482,-0.5141496,-0.9138217,0.099175125,7.8032546,-13.294413,36.248817,2.1535554,7.335026,1535.9307246395963,741.7623626915703,2.533216461578926,3507.745246167453,1226.7668199429463,1910.0843573474976,286.2335299030882,0.067094143081761,0.0778834843459437,3.517521505056066,0.19625303,0.23749447,0.14531846,0.16519223,0.16838662,0.20554185,0.24442567,0.2470141,0.39992493,0.32614085,0.40285075,0.29021952,0.3909349,0.3204409,0.32303196,0.27582458,0.37690404,0.32760853,0.43350455,0.35987478,0.5099743,0.4183026,0.35681933,0.32263592,0.0116188990773783,0.0665411197309819,-0.0257962776094368,0.0684336171601605,-0.0530778814528916,0.0899312695486842,-0.0193209193248612,0.1436185273778135,0.0042256903758957,0.0391201436541246,-0.0088864448216725,0.0494191859236705,161.49902344,10.0,2.7245431293323943,0.024418104,0.026097942,1.1761837,23.12271125155767,18.70319286490015,1196.7438968080862,296.9605454979809,1873.939877366904,1009.097303582916,5.8146715,377.9713958313553,55.08726620402129,283.6614678567074,520.2374258519452,1.0396488459912767,0.277026231919756,236.5759579952378,0.4591194968553459,3.670340136054422,22050.0,/Users/will/Projects/SpeechEmotionCS3540/CREMA-D/AudioWAV/1029_TAI_FEA_XX.wav,1029_TAI_FEA_XX.wav
-414.69302,64.39488,-491.87015,-266.361,0.681011,-0.9814174,138.3501,29.956095,62.239113,204.04903,0.4613092,0.23679185,14.807055,19.118809,-39.985603,40.04766,-0.91902226,0.016318321,56.753345,13.433279,30.465511,110.6617,1.5783095,4.7789555,-11.16086,17.602072,-54.870003,8.065637,-0.92557085,-0.4691465,22.115767,16.260527,-28.27252,62.934853,-0.7221707,1.4399629,-4.811337,7.947231,-26.61614,20.06642,0.3029867,1.2281613,8.932752,5.919192,-7.491412,21.894594,-0.69714594,0.8463025,-19.71591,14.6083145,-60.891373,4.846222,-0.941428,0.0075416565,-2.4165878,8.319152,-25.018204,14.341234,-0.5719221,-0.0002169609,-2.938334,7.336827,-23.833538,10.212932,-0.9012278,0.5067997,-4.6455784,5.412123,-20.856483,14.9532585,0.2392237,2.0869632,3.8104858,6.1177526,-8.318615,21.247795,0.7524131,0.079557896,1251.1005645041605,546.0839934212097,3.1920880397170124,2840.1161595394738,1188.6515930669516,1732.716231026624,337.83830287042736,0.0496864720394736,0.0437055270399903,3.6980339319213327,0.39973092,0.25682437,0.3594793,0.2884906,0.2599839,0.17610395,0.26787087,0.18526766,0.32648498,0.20896192,0.5528625,0.32296026,0.5617592,0.3228407,0.4039526,0.25589368,0.47467136,0.27024904,0.63590145,0.32258278,0.5241963,0.28431278,0.39933166,0.24916281,0.0025329529169836,0.0519454935782419,-0.0294057575584137,0.0569230940376189,-0.0871316245904099,0.0640303778470337,-0.0416778204864583,0.0743497520737583,0.0190420110971527,0.0236923808794017,0.0285015864542833,0.0291947745991769,103.359375,7.0,3.1786074672048437,0.013884,0.013328323,1.761404,21.890818732201577,17.70927749938911,1034.661876555548,156.86712258874343,1386.2773943215077,727.4846652377971,0.35669458,106.4738701584956,12.226404448187184,90.90953499696327,125.62905732418486,0.3052245041865115,-1.4004866457100589,34.71952232722157,0.3157894736842105,2.2022222222222223,22050.0,/Users/will/Projects/SpeechEmotionCS3540/CREMA-D/AudioWAV/1039_IEO_SAD_MD.wav,1039_IEO_SAD_MD.wav
-366.637,89.09273,-497.3504,-191.80638,0.11863324,-1.3301755,112.136604,28.405897,49.433052,184.4213,0.311512,-0.13589454,14.312089,32.895058,-76.61788,62.1521,-0.6611415,-0.22788739,48.73689,24.16308,-2.2810187,107.504654,0.5046445,-0.19367862,-12.123572,35.308434,-108.426895,28.052494,-1.156956,0.38245177,11.5677185,18.743189,-24.162811,46.09807,-0.4777083,-1.004406,-9.017609,17.438152,-66.8277,16.83855,-1.1477154,0.7662082,2.1451719,11.55101,-31.753586,31.715454,-0.58098197,0.7942922,-13.143896,13.120062,-44.0269,8.379143,-0.5590436,-0.79704857,3.6026306,8.381729,-12.597191,28.807346,0.8745636,0.78371906,-3.5043232,9.074902,-28.084843,20.132076,-0.2939272,-0.11304855,1.9471064,5.4570045,-9.436881,20.201832,0.48496974,0.5495317,8.126643,7.879774,-7.562725,32.048492,0.71621615,0.5292015,1503.9659957748922,634.635404857904,1.610200091017756,3229.2002802309785,1494.7186312700412,1811.2418377452184,382.73109133117697,0.0583000735960144,0.0304876885928142,1.9883913654838783,0.31895435,0.2679804,0.49302086,0.38163984,0.3372587,0.29579204,0.21693623,0.2796699,0.22533569,0.30010894,0.2057704,0.26513207,0.14341764,0.19193769,0.1335388,0.17207636,0.18290885,0.23302026,0.3233139,0.32867497,0.48627758,0.42639947,0.3299176,0.28640303,-0.0166709666702701,0.0769492824988678,-0.0219693583451292,0.078714843738018,-0.1062565668067642,0.1251483024686962,0.0163839454762632,0.1085046294480205,0.0307934495965583,0.0412938184286891,0.0009595926756552,0.0398901773318883,83.35433468,13.0,4.058416276139372,0.034049343,0.03595219,1.288726,24.232089001669948,18.27057528122839,1109.9014445999148,327.13501445489345,1854.9929924100843,981.4106577359984,1.2434684,254.82111702875704,49.61732668091448,108.1102658399776,333.4576446322876,-1.1510455457557915,1.3320007881645894,225.34737879231,0.5942028985507246,3.2032199546485263,22050.0,/Users/will/Projects/SpeechEmotionCS3540/CREMA-D/AudioWAV/1008_TAI_HAP_XX.wav,1008_TAI_HAP_XX.wav
