mfcc_1_mean,mfcc_1_std,mfcc_1_min,mfcc_1_max,mfcc_1_skew,mfcc_1_kurtosis,mfcc_2_mean,mfcc_2_std,mfcc_2_min,mfcc_2_max,mfcc_2_skew,mfcc_2_kurtosis,mfcc_3_mean,mfcc_3_std,mfcc_3_min,mfcc_3_max,mfcc_3_skew,mfcc_3_kurtosis,mfcc_4_mean,mfcc_4_std,mfcc_4_min,mfcc_4_max,mfcc_4_skew,mfcc_4_kurtosis,mfcc_5_mean,mfcc_5_std,mfcc_5_min,mfcc_5_max,mfcc_5_skew,mfcc_5_kurtosis,mfcc_6_mean,mfcc_6_std,mfcc_6_min,mfcc_6_max,mfcc_6_skew,mfcc_6_kurtosis,mfcc_7_mean,mfcc_7_std,mfcc_7_min,mfcc_7_max,mfcc_7_skew,mfcc_7_kurtosis,mfcc_8_mean,mfcc_8_std,mfcc_8_min,mfcc_8_max,mfcc_8_skew,mfcc_8_kurtosis,mfcc_9_mean,mfcc_9_std,mfcc_9_min,mfcc_9_max,mfcc_9_skew,mfcc_9_kurtosis,mfcc_10_mean,mfcc_10_std,mfcc_10_min,mfcc_10_max,mfcc_10_skew,mfcc_10_kurtosis,mfcc_11_mean,mfcc_11_std,mfcc_11_min,mfcc_11_max,mfcc_11_skew,mfcc_11_kurtosis,mfcc_12_mean,mfcc_12_std,mfcc_12_min,mfcc_12_max,mfcc_12_skew,mfcc_12_kurtosis,mfcc_13_mean,mfcc_13_std,mfcc_13_min,mfcc_13_max,mfcc_13_skew,mfcc_13_kurtosis,spectral_centroid_mean,spectral_centroid_std,spectral_centroid_skew,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,zcr_mean,zcr_std,zcr_skew,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,tonnetz_1_mean,tonnetz_1_std,tonnetz_2_mean,tonnetz_2_std,tonnetz_3_mean,tonnetz_3_std,tonnetz_4_mean,tonnetz_4_std,tonnetz_5_mean,tonnetz_5_std,tonnetz_6_mean,tonnetz_6_std,tempo,onset_count,onset_rate,rms_mean,rms_std,rms_skew,energy_entropy_mean,energy_entropy_std,harmonic_centroid_mean,harmonic_centroid_std,percussive_centroid_mean,percussive_centroid_std,harmonic_to_noise_ratio,f0_mean,f0_std,f0_min,f0_max,f0_skew,f0_kurtosis,f0_range,voicing_ratio,duration,sample_rate,file_path,filename,actor_id,emotion,index,dataset
-342.87372,111.94565,-521.71124,-86.65071,0.0071718358,-1.0224454,110.114586,72.57058,-91.429504,220.17163,-0.4335184,-0.57906795,16.76847,43.684715,-121.38838,108.72679,-0.3466834,0.12203479,52.864513,37.601196,-40.9688,152.17966,0.511457,-0.08315134,-9.21887,31.37409,-92.90322,59.866272,-0.4928918,-0.5756829,-13.403553,33.37925,-101.073975,52.40824,-0.57196826,-0.20961142,5.7682843,16.908155,-40.400406,53.92819,-0.080037266,0.3361063,2.0406418,14.845294,-36.146935,42.337547,-0.0686685,-0.063824415,-13.185515,17.01723,-54.69558,28.882458,0.18135329,-0.50943494,1.3136061,13.843432,-45.022648,42.064495,-0.16666767,1.5073242,-1.6630086,15.149881,-35.639954,36.510853,-0.13122462,-0.5609813,-3.3897498,11.971295,-31.92165,27.91229,-0.25732887,-0.560482,-2.2531095,10.199395,-30.010582,21.595642,-0.5588665,0.10676885,962.3006114566675,933.3248528031244,1.9991926945600258,1848.984375,1875.4903808435317,1217.6008745203637,589.0788173861193,0.01770332532051282,0.017032017103436832,1.0741928784161303,0.4791729,0.35118052,0.42156744,0.3472919,0.4203235,0.36815122,0.44385192,0.38124344,0.49205282,0.38577422,0.52312636,0.39191657,0.48591298,0.39219964,0.45857236,0.37810773,0.4987587,0.3721714,0.48625082,0.3557269,0.45002535,0.33142367,0.46795326,0.3390341,-0.0008645537925239329,0.05953201818448432,0.01134412791419441,0.07352976703055941,-0.030990156091941175,0.09362517120437866,0.00795035782055163,0.1144979094977981,-0.009124449795442495,0.028311869417173074,0.002020258819445604,0.03459398739481508,[135.99917763],20,4.432784512393703,0.098128766,0.06599786,0.8937312,25.77619583280218,13.505844919217143,450.21402797413197,261.93229222176,1684.3440785983137,1254.9354601089503,0.447159,157.5786859011022,26.496047676929805,104.42763330455712,234.43211035826653,0.6549766745469366,0.3297580251819001,130.00447705370942,0.517948717948718,4.511836734693878,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/SURREY/Audio/JK_sa01.wav,JK_sa01.wav,JK,Sad,01,SAVEE
-390.9712,104.04987,-553.8086,-164.90747,0.12877181,-1.1115522,121.663086,67.472855,-44.400974,234.95335,-0.2649407,-0.8316066,23.440643,44.927456,-103.16518,112.83448,-0.45474416,-0.19431233,51.314453,34.493942,-39.887634,137.17,0.28057,-0.27423286,7.7167425,31.800835,-89.86531,66.08095,-0.8681851,0.31591797,-15.671521,33.22928,-96.28715,72.19,-0.15254022,-0.4034965,0.9067297,14.4530945,-38.498978,39.10381,-0.34896654,-0.08798957,-0.24121526,15.828483,-40.71225,33.485012,-0.39168176,-0.28857803,-10.315751,16.044184,-51.758186,16.79897,-0.3385484,-1.0487235,3.2968495,10.138741,-23.828894,35.620388,0.115703575,0.48577166,0.10179881,13.915999,-45.40316,42.504166,-0.45136327,0.87545085,-5.2450337,11.309943,-40.60897,13.998825,-0.47467324,-0.7637551,0.8371315,8.735289,-27.568335,29.458847,-0.22952013,0.6040709,730.4521628105231,661.3404368144933,1.856115036903671,1479.7683189655172,1587.3040426494763,1067.093698914707,555.5458925064155,0.01274208273467433,0.013295767159484113,0.8006342439817776,0.52405864,0.3408423,0.43799788,0.34419572,0.4445957,0.3888201,0.45243448,0.38505867,0.48209012,0.3952874,0.48995855,0.38179305,0.4939264,0.38028252,0.50929594,0.37598363,0.56985384,0.36196178,0.561336,0.3328017,0.5335635,0.31208023,0.53179896,0.32535926,0.0188966158727007,0.07154940827548005,0.005346784095751826,0.06408767273000064,0.009853669221002228,0.13642842293030435,0.040899977683877695,0.12097382649703885,-0.012207760280612464,0.03783263298189613,0.006017432494581468,0.04423091621584738,[89.10290948],27,4.456379355514803,0.06547744,0.037768517,2.6186748,24.92403070767243,12.60398309334897,286.3677471122565,189.0846362851988,1582.1272687742658,1251.0274393066722,0.9689615,118.74959609731893,14.634924109052958,94.6606580968763,173.60841241450115,1.444347816296068,3.085870526167934,78.94775431762484,0.4367816091954023,6.0587301587301585,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/SURREY/Audio/JK_sa15.wav,JK_sa15.wav,JK,Sad,15,SAVEE
-417.85495,98.36466,-574.67566,-262.29254,-0.17456575,-1.4868608,130.0766,79.69452,-53.623703,241.27972,-0.26312885,-1.0562565,24.550087,32.850296,-59.789246,111.285934,-0.28392372,-0.054290533,27.034882,35.346046,-34.667755,115.856155,0.5481137,-0.09200907,17.153172,26.86205,-44.720894,71.02145,-0.14280276,-0.43332267,3.74248,21.58661,-55.36785,55.881165,-0.20660426,0.027595282,-14.69966,24.35379,-69.17682,28.23149,-0.30775654,-0.9431672,0.912299,11.721022,-32.26975,26.323122,-0.55490816,0.160254,1.4217697,12.37994,-42.66915,35.271683,-0.62344027,1.688673,-5.3434215,14.473829,-38.156887,25.37476,-0.3558512,-0.7165873,1.4727006,10.974552,-33.75911,29.549473,-0.49378952,0.7259736,1.2039193,12.653686,-29.51522,35.831078,0.056241453,0.019012451,-0.96966785,9.42739,-30.339092,14.574718,-1.0536178,0.8688786,653.0408287710466,737.0345678290303,2.32527901467079,1199.007901278409,1585.8400390239456,965.5231246953089,603.0810748394513,0.012041580578512397,0.013439091553026973,0.6228817670823704,0.53882986,0.3538487,0.5960654,0.34458753,0.5861976,0.3570509,0.5129887,0.389991,0.50001085,0.3974891,0.5288784,0.41907546,0.49562016,0.42649496,0.45765638,0.41994712,0.4417033,0.40687868,0.4678889,0.3525293,0.5240925,0.34248576,0.48890752,0.3035581,0.012298301903640745,0.07406222904816386,0.03440589986953118,0.07507012571214947,-0.03162382205963664,0.16297930910406444,-0.0189601985491386,0.12569767261343032,0.008731087261220067,0.05095724613590058,-0.00892659470492829,0.0361840893393889,[184.5703125],10,3.5856573705179287,0.067210466,0.034157757,1.0053024,24.446702611983945,12.597946372699326,223.06076344073875,159.9869580662816,1575.8468783916442,1299.8339138402182,1.1391221,128.52247181130969,21.30889075558544,92.4986056779086,175.62564499846297,0.5416185765857543,-0.5532009126160453,83.12703932055437,0.5867768595041323,2.7888888888888888,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/SURREY/Audio/DC_n13.wav,DC_n13.wav,DC,Neutral,13,SAVEE
-410.57117,99.90038,-564.302,-216.72339,-0.15713039,-1.3242846,140.94865,75.34694,-45.18463,263.46246,-0.24887863,-1.1705441,19.066946,36.728607,-78.45481,85.66564,-0.70216286,-0.42377996,31.453154,46.46537,-55.554092,158.6568,0.68842876,0.19478393,26.212233,27.195902,-33.976677,105.98955,0.66945964,0.13581395,-5.1055694,26.678719,-65.770195,61.348587,-0.05419583,-0.68158674,-17.431736,27.047306,-69.31819,30.14999,-0.06422127,-1.2589116,4.9226255,15.581781,-46.255592,35.06164,-0.7358359,0.43125176,0.20970982,12.658229,-36.183464,29.919022,-0.31252825,-0.18646955,-10.912573,16.006565,-46.457703,18.151943,-0.3343228,-0.83512044,2.6955423,12.582292,-26.426254,46.945904,0.5130308,1.304893,2.3360717,8.782201,-24.93393,22.291935,-0.7715985,1.0155029,-3.090999,9.038966,-22.907059,18.328806,-0.09488152,-0.5170708,592.7800127304714,531.6424651996143,2.5299840409323076,1147.658203125,1354.999112500537,901.647932857732,470.7309950170389,0.014793526785714285,0.01465125291821492,0.5707386668892852,0.5213792,0.37579006,0.49443865,0.3532069,0.48018938,0.3924377,0.50533605,0.4043841,0.5471155,0.4100976,0.48263627,0.4059352,0.47620988,0.4075941,0.4663582,0.4005898,0.50666624,0.37740707,0.52904993,0.35243806,0.47889805,0.3250765,0.5050803,0.35180867,0.021035098272310187,0.07564635577899013,0.011577231274165215,0.07183244068117818,-0.003479753753969105,0.1647163696353597,0.04538258129198585,0.12510151973390976,0.006471552580635479,0.04045016771276112,0.007106972280224572,0.04575206962598393,[99.38401442],16,3.948870631953616,0.066456564,0.034085184,1.5703177,25.360931746145194,12.196774577449306,227.82091727998485,142.5884415655513,1469.2333141583204,1062.9649821424441,0.99045897,124.45628172678983,18.324778394428904,93.57338770459413,166.7288223161438,0.6225025309112289,-0.5575872489850777,73.15543461154968,0.6514285714285715,4.051791383219955,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/SURREY/Audio/DC_n07.wav,DC_n07.wav,DC,Neutral,07,SAVEE
-360.11646,113.0306,-521.04144,-155.13452,-0.092128694,-1.3394039,120.17843,76.23259,-53.159164,233.15154,-0.20867988,-1.135464,19.079885,41.30014,-90.134964,97.3636,-0.7091691,-0.13019776,44.20682,31.543001,-36.335518,126.396065,0.53715634,-0.21001387,-4.1636925,29.012608,-75.33268,56.3548,-0.81247115,-0.061399937,-9.818753,31.231447,-80.813156,50.803017,-0.2743742,-0.7993064,2.617272,16.161623,-35.02202,53.846123,0.65080595,1.2954407,-1.1424352,14.603333,-37.46899,36.119793,-0.46184075,0.35322118,-12.144272,16.33487,-53.926548,23.063675,-0.3010182,-0.7878046,0.6654707,11.767483,-35.50921,24.26522,-0.74368036,0.54068327,-1.6641737,11.627759,-42.589573,21.038097,-1.0863348,0.7972412,-3.3504572,9.579612,-28.169853,12.0774765,-0.4859508,-0.7212231,3.6844606,7.9177327,-24.12431,29.847952,-0.0037819864,2.2216067,888.6803843089536,880.5082502894679,1.868726018343317,1733.2733154296875,1915.4097144367327,1154.6645520958293,666.8145405113513,0.01629638671875,0.016852667654245066,0.6745026701684222,0.5394272,0.33981046,0.5353283,0.36762807,0.53272027,0.39343253,0.52293736,0.38748074,0.5333965,0.39906424,0.5414178,0.40403408,0.49460137,0.39323062,0.47184902,0.3818346,0.5378725,0.359028,0.57008827,0.30999118,0.54388654,0.27320826,0.5361597,0.30786976,0.013249853554819809,0.0864922569472574,-0.005324635707899619,0.05987774125757397,-0.00593510996421014,0.1299750238101132,-0.001795594832705207,0.10934787076294833,0.00456179609387273,0.04047699427659144,0.0031586215126380417,0.03585792878366115,[95.703125],14,4.205550181872676,0.07977251,0.05346116,1.4738454,24.487518323427494,13.246396992111773,334.24480265238265,219.0608835691943,1679.6928516188632,1351.8763788245708,0.9946037,132.3816377591775,19.030456274082475,106.252996181733,164.81377845643496,0.23015918824193704,-1.5235292869972292,58.560782274701964,0.4097222222222222,3.3289342403628117,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/SURREY/Audio/JK_n20.wav,JK_n20.wav,JK,Neutral,20,SAVEE
-348.37714,112.23021,-505.66437,-73.64388,0.15881671,-0.998698,111.501854,66.373474,-17.520138,232.64546,-0.041118708,-1.283935,13.338007,41.21016,-93.7506,90.453804,-0.737255,-0.22874498,42.07546,29.78834,-27.955166,133.43181,0.8060004,0.7728677,3.3813198,27.351254,-86.58256,48.55126,-1.1593425,1.049191,-13.962217,28.621794,-77.26521,48.852364,-0.30688202,-0.98505473,1.4657276,17.156956,-44.909508,48.629772,-0.2664776,0.15785956,2.3787382,15.974715,-34.638817,37.366848,-0.24434814,-0.24592352,-9.6642275,15.381959,-50.98292,13.176268,-0.5674046,-0.5756657,-0.31959724,11.875331,-29.773973,22.71779,-0.36894682,-0.3063984,-3.1296453,11.673171,-33.328243,23.054234,-0.4680261,-0.22675467,-3.626087,8.982354,-26.21007,18.70435,-0.20977288,-0.3647511,0.89768344,7.6955924,-16.359888,19.429974,-0.15677929,-0.37667823,799.216558909509,791.0281530729737,2.218594888231513,1527.731502757353,1696.5589842700915,1106.8262113387532,529.6301632031008,0.016209022671568627,0.01875176338958643,1.335334642372889,0.6191291,0.30225992,0.6157323,0.32968438,0.5485757,0.35950133,0.4978083,0.3963207,0.4806362,0.3987742,0.5254521,0.40861148,0.48979148,0.3852668,0.45251027,0.3830471,0.4618885,0.3780686,0.45202386,0.36430347,0.45114514,0.33429253,0.5283637,0.3230782,0.004616631389056402,0.06726679551630008,-0.017097539142842746,0.09721121291188492,-0.028333942911107135,0.17510325480282973,0.021189252200712574,0.09855841440879233,-0.009640519323715256,0.05073815025269801,-0.01066770219834511,0.038110054147037345,[172.265625],16,4.514222102798358,0.09341451,0.07490231,1.6568278,24.71718042039783,13.226860593346965,345.1854133921863,232.7418918605298,1589.768588925527,1105.5818478383974,0.35189688,144.12911969062722,19.80818222031879,109.99999999999999,198.27510177438265,0.7970560381568831,-0.2159028415419728,88.27510177438266,0.48366013071895425,3.5443537414965984,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/SURREY/Audio/JK_n08.wav,JK_n08.wav,JK,Neutral,08,SAVEE
-448.68234,101.20397,-565.042,-259.67822,0.39245752,-1.5100961,99.44073,54.919754,-46.79862,203.95508,0.2606294,-0.36594176,34.675575,28.629486,-49.51848,100.2775,-0.7015335,0.24271607,43.786804,31.82637,-11.823119,157.09456,1.243224,1.1217728,7.731826,22.261463,-75.805435,48.326374,-1.3971938,2.4796991,2.7474058,16.529854,-42.496788,43.717316,-0.74375427,0.894855,-9.221355,23.206337,-67.393654,25.226547,-0.825705,-0.5065148,-0.3578953,14.657264,-47.984894,36.311157,-0.8355452,1.0178413,0.47270498,10.1539955,-32.22114,21.64624,-1.4022105,1.6653924,0.500931,9.544775,-35.207382,20.268435,-1.0963404,1.4436092,2.037295,8.199345,-21.590513,28.542025,-0.8382453,0.8466258,4.098133,8.615658,-23.419186,23.46613,-1.143545,1.2854924,5.2731495,8.299732,-18.740242,24.077785,-0.8476182,0.76252246,561.3446151340835,728.0867110490764,2.471010268728759,938.6792401361732,1629.5914514196497,1006.6920459718748,548.5257098696939,0.007875240048882681,0.01127019185985266,1.2341753896749175,0.5573973,0.35487834,0.5797087,0.37059858,0.63577324,0.36511344,0.65510476,0.3740811,0.6473184,0.40892163,0.69227445,0.4069064,0.7147108,0.35953805,0.7509591,0.338626,0.69278836,0.3264426,0.5932058,0.356678,0.53572387,0.3522826,0.5009522,0.32481048,0.02988764907993067,0.08405951109375559,0.017885882860115138,0.09599537891827654,0.054781252689992066,0.1464858121567666,0.008266372853296452,0.09815737020855976,-0.00032814804636269786,0.048504990974837243,-0.017787951429754274,0.03306160769820364,[129.19921875],12,2.903257661374384,0.067704886,0.041068103,1.1518583,24.119000924727708,13.599427239792364,227.20333384033435,199.94054135987682,1557.9839371360856,998.7756114431921,2.4834828,179.47662053277455,24.39021517921104,118.57804013471404,208.85526660911424,-1.0458860113248196,0.0587663225864854,90.2772264744002,0.41899441340782123,4.133287981859411,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/SURREY/Audio/JE_sa08.wav,JE_sa08.wav,JE,Sad,08,SAVEE
-259.73932,117.264915,-438.48444,-23.713154,-0.038157105,-1.1405952,89.841774,60.63464,-88.39865,210.10004,-0.27393636,-0.5088351,-4.058387,43.390343,-105.03961,83.02071,-0.14269742,-0.99095535,25.422482,26.30138,-36.9225,105.13199,0.47653514,0.1754198,-15.864848,30.996725,-99.294586,41.881172,-0.635129,-0.48568964,-9.065743,30.525415,-73.48764,69.52432,0.25045013,-0.4564588,-12.826354,18.031542,-52.511303,33.687298,0.0014639009,-0.8750799,-13.230508,16.981844,-67.456955,25.50243,-0.28965092,-0.40310264,-15.072845,17.271544,-69.95943,12.709163,-0.6447386,0.15082622,-3.8441727,11.612935,-44.43921,25.8054,-0.2813583,0.33542585,-12.393698,14.700683,-46.72565,19.59296,-0.30313173,-0.74970174,-5.8209777,9.975661,-31.995129,17.865019,-0.21602802,-0.45881796,0.10293717,8.0822935,-25.757734,23.00459,0.011296527,0.16458917,1343.7061239500763,1087.498711359202,2.0134729939398532,2476.9516888786766,1936.5101971126596,1409.6987988570684,553.499217390395,0.05513556985294118,0.07192988772706875,3.066553443148841,0.41905355,0.38171914,0.41574368,0.35276982,0.41484046,0.34912133,0.39091545,0.36087745,0.3210993,0.3487162,0.29191133,0.36543036,0.26859918,0.34271845,0.2763372,0.3418422,0.3106012,0.3564961,0.33316386,0.35916835,0.32790104,0.3376137,0.37045646,0.36984864,0.00015137058183234322,0.08035244745924262,0.003349707045023748,0.07857205464364408,0.013975090213923092,0.15574765639227808,0.013326443006813746,0.14489084058170837,-0.0022001202971831313,0.048486215083954426,0.002100640224913777,0.05092888224515539,[123.046875],25,4.2287068786965225,0.17313394,0.15543513,0.97063774,26.815157268866997,12.897748079932672,783.8710124631189,467.62963510908526,2018.8686350554694,1382.497382815041,0.35797414,275.73043977717316,36.45923323077996,197.13312122062953,351.2512899969259,-0.22304243727261527,-0.5895227354019581,154.11816877629636,0.6196078431372549,5.911972789115646,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/SURREY/Audio/JK_f15.wav,JK_f15.wav,JK,Fear,15,SAVEE
-242.48203,108.56871,-450.769,-14.473618,-0.4065804,-0.58205605,93.43682,62.190563,-64.506935,209.36795,-0.24999353,-0.97194576,-4.8439436,35.36714,-75.9241,70.666214,-0.011453752,-0.8654108,30.090717,28.272036,-26.65262,115.17493,0.7088699,0.21707368,-26.838627,29.852077,-98.263504,19.441689,-0.19555739,-0.80975294,-9.798754,29.331223,-76.815475,61.462337,-0.19523597,-0.2597394,-6.8075423,20.977703,-58.171425,40.525932,-0.013310133,-0.55790305,-8.780882,15.8678465,-46.2069,29.802425,-0.1340944,-0.59884214,-15.292946,16.740705,-56.697323,22.009472,0.07010106,-0.5970144,-1.0356566,14.184462,-47.047295,31.661858,-0.26268688,-0.16177201,-4.783003,13.72307,-38.643654,24.537655,-0.08633805,-0.8050895,-6.381977,10.9501295,-32.314304,13.863833,-0.11248995,-0.95175123,-4.120721,9.644321,-31.864098,22.793934,-0.32784456,-0.22572732,1362.8865307672997,1084.5129637904488,1.8456304823120548,2451.3566853613825,1920.2728831856325,1439.225256665647,526.7373623680294,0.06265275837988826,0.08384045771866991,2.634421291581989,0.4323913,0.35782215,0.4503045,0.34661195,0.48742378,0.37813586,0.43709108,0.39098606,0.38729247,0.40453038,0.383853,0.41687277,0.35155898,0.40410602,0.33757994,0.3889908,0.33848217,0.3710814,0.39530775,0.37380853,0.41986537,0.37284082,0.41343468,0.36009002,0.010569018696058958,0.07474217376328195,-0.002237258975031573,0.0654828990133711,-0.023156130977766184,0.14720970668044664,0.0008102726612714446,0.1233882548467447,-0.006218970960674061,0.03802481148060999,-0.00713402933347448,0.042237606765476554,[99.38401442],20,4.830388731283613,0.19663554,0.15540719,0.7221199,25.824976439704344,13.590000214458474,821.9991087013603,439.73341710918544,2060.053856697842,1319.1646279949218,0.76093936,261.6483347092995,45.56608397537178,139.3941668115768,335.38934511626763,-0.8672446426452896,0.3943942966243035,195.99517830469082,0.6368715083798883,4.140453514739229,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/SURREY/Audio/JK_f01.wav,JK_f01.wav,JK,Fear,01,SAVEE
-624.33124,92.09966,-762.65,-444.60516,0.033500046,-1.4034352,121.54186,70.578705,-54.483307,244.99704,-0.23581283,-0.93999004,31.729641,33.02065,-57.190384,100.474976,-0.40989742,-0.27181244,36.780975,33.90986,-18.549797,135.92654,1.2370088,0.9012196,13.08292,21.536165,-39.74799,63.372955,-0.36550364,-0.18179965,0.16262266,19.738337,-63.23117,43.95681,-0.51700026,0.22504997,-5.7345624,19.535892,-59.85675,21.054825,-0.8540182,-0.2739172,-3.5959864,15.356343,-39.70248,35.389946,-0.36201024,-0.21531343,-9.614604,16.441319,-42.780373,36.083454,-0.18256278,-0.86530185,-6.7439923,15.42045,-53.458748,27.074133,-0.75302833,0.26137114,-3.2614877,10.10019,-34.52108,13.40539,-0.80896914,0.0220263,-2.3826644,10.946026,-35.92134,23.897923,-0.69724137,0.58862853,1.4258157,8.502595,-23.212734,31.558968,0.36709738,1.3613491,981.7825933841966,830.1063367456371,2.5342004844667447,1676.2502034505208,1473.0996027957337,1422.7715977943426,595.3671706651165,0.029699254918981483,0.04412867985309541,2.7399487510115765,0.43718487,0.33530882,0.38268512,0.3050793,0.34836566,0.29742187,0.35766855,0.3355735,0.38686314,0.375983,0.47958225,0.37223116,0.5257322,0.30777922,0.5620269,0.3099983,0.5225026,0.32271835,0.53404766,0.31336468,0.54969704,0.32310593,0.46422252,0.32533193,0.02113488817571169,0.06480973120021084,-0.01202865981301087,0.07786279576823738,0.01670725885519914,0.1473310593433141,-0.012965339248897045,0.12488103515934998,-0.005479233978496526,0.03567257399058443,0.00473250850983384,0.03913392957407375,[135.99917763],20,4.0,0.0050860844,0.0046328628,1.2439694,23.440745334714926,11.725954029093478,497.4217995295924,118.59377143491308,1826.0921784321558,1324.4387244358645,0.44723177,111.8748665896196,16.630363386220054,87.81282249923149,161.9823763910578,0.4163326095874964,-0.3977058126632742,74.16955389182633,0.5370370370370371,5.0,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/SURREY/Audio/KL_sa13.wav,KL_sa13.wav,KL,Sad,13,SAVEE
