actor_id,emotion,index,filename,dataset
JK,Sad,01,JK_sa01.wav,SAVEE
JK,Sad,15,JK_sa15.wav,SAVEE
DC,Neutral,13,DC_n13.wav,SAVEE
DC,Neutral,07,DC_n07.wav,SAVEE
JK,Neutral,20,JK_n20.wav,SAVEE
JK,Neutral,08,JK_n08.wav,SAVEE
JE,Sad,08,JE_sa08.wav,SAVEE
JK,Fear,15,JK_f15.wav,SAVEE
JK,Fear,01,JK_f01.wav,SAVEE
KL,Sad,13,KL_sa13.wav,SAVEE
KL,Sad,07,KL_sa07.wav,SAVEE
JK,Disgust,03,JK_d03.wav,SAVEE
DC,Happy,01,DC_h01.wav,SAVEE
DC,Happy,15,DC_h15.wav,SAVEE
DC,Happy,14,DC_h14.wav,SAVEE
JK,Disgust,02,JK_d02.wav,SAVEE
KL,Sad,06,KL_sa06.wav,SAVEE
KL,Sad,12,KL_sa12.wav,SAVEE
JK,Fear,14,JK_f14.wav,SAVEE
JE,Sad,09,JE_sa09.wav,SAVEE
JK,Neutral,09,JK_n09.wav,SAVEE
JK,Neutral,21,JK_n21.wav,SAVEE
DC,Neutral,06,DC_n06.wav,SAVEE
DC,Neutral,12,DC_n12.wav,SAVEE
JK,Sad,14,JK_sa14.wav,SAVEE
JK,Sad,02,JK_sa02.wav,SAVEE
DC,Neutral,04,DC_n04.wav,SAVEE
DC,Neutral,10,DC_n10.wav,SAVEE
JK,Neutral,23,JK_n23.wav,SAVEE
JK,Fear,02,JK_f02.wav,SAVEE
KL,Sad,04,KL_sa04.wav,SAVEE
KL,Sad,10,KL_sa10.wav,SAVEE
JK,Disgust,14,JK_d14.wav,SAVEE
DC,Happy,02,DC_h02.wav,SAVEE
DC,Happy,03,DC_h03.wav,SAVEE
JK,Disgust,15,JK_d15.wav,SAVEE
KL,Sad,11,KL_sa11.wav,SAVEE
JK,Disgust,01,JK_d01.wav,SAVEE
KL,Sad,05,KL_sa05.wav,SAVEE
JK,Fear,03,JK_f03.wav,SAVEE
JK,Neutral,22,JK_n22.wav,SAVEE
DC,Neutral,11,DC_n11.wav,SAVEE
DC,Neutral,05,DC_n05.wav,SAVEE
JK,Sad,03,JK_sa03.wav,SAVEE
JK,Sad,13,JK_sa13.wav,SAVEE
JK,Sad,07,JK_sa07.wav,SAVEE
DC,Neutral,29,DC_n29.wav,SAVEE
DC,Neutral,01,DC_n01.wav,SAVEE
DC,Neutral,15,DC_n15.wav,SAVEE
JK,Neutral,26,JK_n26.wav,SAVEE
JK,Fear,07,JK_f07.wav,SAVEE
JK,Fear,13,JK_f13.wav,SAVEE
JK,Happy,08,JK_h08.wav,SAVEE
KL,Sad,01,KL_sa01.wav,SAVEE
JK,Disgust,05,JK_d05.wav,SAVEE
KL,Sad,15,KL_sa15.wav,SAVEE
JK,Disgust,11,JK_d11.wav,SAVEE
DC,Fear,08,DC_f08.wav,SAVEE
DC,Happy,13,DC_h13.wav,SAVEE
KL,Anger,09,KL_a09.wav,SAVEE
DC,Happy,07,DC_h07.wav,SAVEE
DC,Happy,06,DC_h06.wav,SAVEE
DC,Happy,12,DC_h12.wav,SAVEE
KL,Anger,08,KL_a08.wav,SAVEE
DC,Fear,09,DC_f09.wav,SAVEE
JK,Disgust,10,JK_d10.wav,SAVEE
KL,Sad,14,KL_sa14.wav,SAVEE
JK,Disgust,04,JK_d04.wav,SAVEE
JK,Happy,09,JK_h09.wav,SAVEE
JK,Fear,12,JK_f12.wav,SAVEE
JK,Fear,06,JK_f06.wav,SAVEE
JK,Neutral,27,JK_n27.wav,SAVEE
DC,Neutral,14,DC_n14.wav,SAVEE
DC,Neutral,28,DC_n28.wav,SAVEE
JK,Sad,06,JK_sa06.wav,SAVEE
JK,Sad,12,JK_sa12.wav,SAVEE
JK,Sad,04,JK_sa04.wav,SAVEE
JK,Sad,10,JK_sa10.wav,SAVEE
DC,Neutral,16,DC_n16.wav,SAVEE
DC,Neutral,02,DC_n02.wav,SAVEE
JK,Neutral,19,JK_n19.wav,SAVEE
JK,Neutral,25,JK_n25.wav,SAVEE
JE,Anger,09,JE_a09.wav,SAVEE
JK,Fear,10,JK_f10.wav,SAVEE
JK,Fear,04,JK_f04.wav,SAVEE
DC,Disgust,09,DC_d09.wav,SAVEE
JK,Disgust,12,JK_d12.wav,SAVEE
KL,Sad,02,KL_sa02.wav,SAVEE
JK,Disgust,06,JK_d06.wav,SAVEE
DC,Happy,04,DC_h04.wav,SAVEE
DC,Happy,10,DC_h10.wav,SAVEE
DC,Happy,11,DC_h11.wav,SAVEE
DC,Happy,05,DC_h05.wav,SAVEE
JK,Disgust,07,JK_d07.wav,SAVEE
KL,Sad,03,KL_sa03.wav,SAVEE
JK,Disgust,13,JK_d13.wav,SAVEE
DC,Disgust,08,DC_d08.wav,SAVEE
JK,Fear,05,JK_f05.wav,SAVEE
JK,Fear,11,JK_f11.wav,SAVEE
JK,Neutral,30,JK_n30.wav,SAVEE
JK,Neutral,24,JK_n24.wav,SAVEE
JE,Anger,08,JE_a08.wav,SAVEE
JK,Neutral,18,JK_n18.wav,SAVEE
DC,Neutral,03,DC_n03.wav,SAVEE
DC,Neutral,17,DC_n17.wav,SAVEE
JK,Sad,11,JK_sa11.wav,SAVEE
JK,Sad,05,JK_sa05.wav,SAVEE
KL,Neutral,17,KL_n17.wav,SAVEE
KL,Neutral,03,KL_n03.wav,SAVEE
JE,Happy,12,JE_h12.wav,SAVEE
JE,Happy,06,JE_h06.wav,SAVEE
JE,Fear,09,JE_f09.wav,SAVEE
JE,Neutral,14,JE_n14.wav,SAVEE
JK,Anger,10,JK_a10.wav,SAVEE
JE,Neutral,28,JE_n28.wav,SAVEE
JK,Anger,04,JK_a04.wav,SAVEE
KL,Disgust,08,KL_d08.wav,SAVEE
DC,Sad,11,DC_sa11.wav,SAVEE
DC,Sad,05,DC_sa05.wav,SAVEE
KL,Happy,05,KL_h05.wav,SAVEE
KL,Happy,11,KL_h11.wav,SAVEE
KL,Happy,10,KL_h10.wav,SAVEE
KL,Happy,04,KL_h04.wav,SAVEE
DC,Sad,04,DC_sa04.wav,SAVEE
DC,Sad,10,DC_sa10.wav,SAVEE
KL,Disgust,09,KL_d09.wav,SAVEE
JE,Neutral,29,JE_n29.wav,SAVEE
JK,Anger,05,JK_a05.wav,SAVEE
JK,Anger,11,JK_a11.wav,SAVEE
JE,Neutral,15,JE_n15.wav,SAVEE
JE,Neutral,01,JE_n01.wav,SAVEE
JE,Fear,08,JE_f08.wav,SAVEE
JE,Happy,07,JE_h07.wav,SAVEE
JE,Happy,13,JE_h13.wav,SAVEE
KL,Neutral,02,KL_n02.wav,SAVEE
KL,Neutral,16,KL_n16.wav,SAVEE
KL,Neutral,14,KL_n14.wav,SAVEE
KL,Neutral,28,KL_n28.wav,SAVEE
JE,Disgust,08,JE_d08.wav,SAVEE
JE,Happy,05,JE_h05.wav,SAVEE
JE,Happy,11,JE_h11.wav,SAVEE
JE,Neutral,17,JE_n17.wav,SAVEE
JE,Neutral,03,JE_n03.wav,SAVEE
JK,Anger,07,JK_a07.wav,SAVEE
JK,Anger,13,JK_a13.wav,SAVEE
DC,Sad,06,DC_sa06.wav,SAVEE
DC,Sad,12,DC_sa12.wav,SAVEE
KL,Happy,12,KL_h12.wav,SAVEE
DC,Anger,08,DC_a08.wav,SAVEE
KL,Happy,06,KL_h06.wav,SAVEE
KL,Fear,09,KL_f09.wav,SAVEE
KL,Fear,08,KL_f08.wav,SAVEE
KL,Happy,07,KL_h07.wav,SAVEE
KL,Happy,13,KL_h13.wav,SAVEE
DC,Anger,09,DC_a09.wav,SAVEE
DC,Sad,13,DC_sa13.wav,SAVEE
DC,Sad,07,DC_sa07.wav,SAVEE
JK,Anger,12,JK_a12.wav,SAVEE
JK,Anger,06,JK_a06.wav,SAVEE
JE,Neutral,02,JE_n02.wav,SAVEE
JE,Neutral,16,JE_n16.wav,SAVEE
JE,Happy,10,JE_h10.wav,SAVEE
JE,Happy,04,JE_h04.wav,SAVEE
JE,Disgust,09,JE_d09.wav,SAVEE
KL,Neutral,29,KL_n29.wav,SAVEE
KL,Neutral,15,KL_n15.wav,SAVEE
KL,Neutral,01,KL_n01.wav,SAVEE
KL,Neutral,05,KL_n05.wav,SAVEE
KL,Neutral,11,KL_n11.wav,SAVEE
JE,Happy,14,JE_h14.wav,SAVEE
JK,Anger,02,JK_a02.wav,SAVEE
JE,Neutral,12,JE_n12.wav,SAVEE
JE,Neutral,06,JE_n06.wav,SAVEE
DC,Sad,03,DC_sa03.wav,SAVEE
KL,Happy,03,KL_h03.wav,SAVEE
KL,Happy,02,KL_h02.wav,SAVEE
DC,Sad,02,DC_sa02.wav,SAVEE
JE,Neutral,07,JE_n07.wav,SAVEE
JE,Neutral,13,JE_n13.wav,SAVEE
JK,Anger,03,JK_a03.wav,SAVEE
JE,Happy,15,JE_h15.wav,SAVEE
JE,Happy,01,JE_h01.wav,SAVEE
KL,Neutral,10,KL_n10.wav,SAVEE
KL,Neutral,04,KL_n04.wav,SAVEE
KL,Neutral,12,KL_n12.wav,SAVEE
KL,Neutral,06,KL_n06.wav,SAVEE
JE,Happy,03,JE_h03.wav,SAVEE
JK,Anger,15,JK_a15.wav,SAVEE
JK,Anger,01,JK_a01.wav,SAVEE
JE,Neutral,05,JE_n05.wav,SAVEE
JE,Neutral,11,JE_n11.wav,SAVEE
DC,Sad,14,DC_sa14.wav,SAVEE
KL,Happy,14,KL_h14.wav,SAVEE
KL,Happy,15,KL_h15.wav,SAVEE
KL,Happy,01,KL_h01.wav,SAVEE
DC,Sad,01,DC_sa01.wav,SAVEE
DC,Sad,15,DC_sa15.wav,SAVEE
JE,Neutral,10,JE_n10.wav,SAVEE
JE,Neutral,04,JE_n04.wav,SAVEE
JK,Anger,14,JK_a14.wav,SAVEE
JE,Happy,02,JE_h02.wav,SAVEE
KL,Neutral,07,KL_n07.wav,SAVEE
KL,Neutral,13,KL_n13.wav,SAVEE
KL,Neutral,22,KL_n22.wav,SAVEE
JE,Disgust,02,JE_d02.wav,SAVEE
JE,Fear,14,JE_f14.wav,SAVEE
JE,Neutral,21,JE_n21.wav,SAVEE
JE,Neutral,09,JE_n09.wav,SAVEE
KL,Disgust,01,KL_d01.wav,SAVEE
KL,Disgust,15,KL_d15.wav,SAVEE
DC,Anger,02,DC_a02.wav,SAVEE
KL,Fear,03,KL_f03.wav,SAVEE
KL,Fear,02,KL_f02.wav,SAVEE
DC,Anger,03,DC_a03.wav,SAVEE
KL,Disgust,14,KL_d14.wav,SAVEE
JE,Neutral,08,JE_n08.wav,SAVEE
JE,Neutral,20,JE_n20.wav,SAVEE
JE,Fear,01,JE_f01.wav,SAVEE
JE,Fear,15,JE_f15.wav,SAVEE
JE,Disgust,03,JE_d03.wav,SAVEE
KL,Neutral,23,KL_n23.wav,SAVEE
KL,Neutral,21,KL_n21.wav,SAVEE
KL,Neutral,09,KL_n09.wav,SAVEE
JE,Disgust,01,JE_d01.wav,SAVEE
JE,Disgust,15,JE_d15.wav,SAVEE
JE,Fear,03,JE_f03.wav,SAVEE
JE,Neutral,22,JE_n22.wav,SAVEE
KL,Disgust,02,KL_d02.wav,SAVEE
DC,Anger,15,DC_a15.wav,SAVEE
DC,Anger,01,DC_a01.wav,SAVEE
KL,Fear,14,KL_f14.wav,SAVEE
KL,Fear,01,KL_f01.wav,SAVEE
KL,Fear,15,KL_f15.wav,SAVEE
DC,Anger,14,DC_a14.wav,SAVEE
KL,Disgust,03,KL_d03.wav,SAVEE
JE,Neutral,23,JE_n23.wav,SAVEE
JE,Fear,02,JE_f02.wav,SAVEE
JE,Disgust,14,JE_d14.wav,SAVEE
KL,Neutral,08,KL_n08.wav,SAVEE
KL,Neutral,20,KL_n20.wav,SAVEE
KL,Neutral,18,KL_n18.wav,SAVEE
KL,Neutral,24,KL_n24.wav,SAVEE
KL,Neutral,30,KL_n30.wav,SAVEE
JE,Disgust,04,JE_d04.wav,SAVEE
JE,Disgust,10,JE_d10.wav,SAVEE
JE,Happy,09,JE_h09.wav,SAVEE
JE,Fear,06,JE_f06.wav,SAVEE
JE,Fear,12,JE_f12.wav,SAVEE
JE,Neutral,27,JE_n27.wav,SAVEE
KL,Disgust,13,KL_d13.wav,SAVEE
KL,Disgust,07,KL_d07.wav,SAVEE
DC,Anger,10,DC_a10.wav,SAVEE
DC,Anger,04,DC_a04.wav,SAVEE
KL,Fear,11,KL_f11.wav,SAVEE
KL,Fear,05,KL_f05.wav,SAVEE
KL,Fear,04,KL_f04.wav,SAVEE
KL,Fear,10,KL_f10.wav,SAVEE
DC,Anger,05,DC_a05.wav,SAVEE
DC,Anger,11,DC_a11.wav,SAVEE
KL,Disgust,06,KL_d06.wav,SAVEE
KL,Disgust,12,KL_d12.wav,SAVEE
JE,Neutral,26,JE_n26.wav,SAVEE
JE,Fear,13,JE_f13.wav,SAVEE
JE,Fear,07,JE_f07.wav,SAVEE
