mfcc_1_mean,mfcc_1_std,mfcc_1_min,mfcc_1_max,mfcc_1_skew,mfcc_1_kurtosis,mfcc_2_mean,mfcc_2_std,mfcc_2_min,mfcc_2_max,mfcc_2_skew,mfcc_2_kurtosis,mfcc_3_mean,mfcc_3_std,mfcc_3_min,mfcc_3_max,mfcc_3_skew,mfcc_3_kurtosis,mfcc_4_mean,mfcc_4_std,mfcc_4_min,mfcc_4_max,mfcc_4_skew,mfcc_4_kurtosis,mfcc_5_mean,mfcc_5_std,mfcc_5_min,mfcc_5_max,mfcc_5_skew,mfcc_5_kurtosis,mfcc_6_mean,mfcc_6_std,mfcc_6_min,mfcc_6_max,mfcc_6_skew,mfcc_6_kurtosis,mfcc_7_mean,mfcc_7_std,mfcc_7_min,mfcc_7_max,mfcc_7_skew,mfcc_7_kurtosis,mfcc_8_mean,mfcc_8_std,mfcc_8_min,mfcc_8_max,mfcc_8_skew,mfcc_8_kurtosis,mfcc_9_mean,mfcc_9_std,mfcc_9_min,mfcc_9_max,mfcc_9_skew,mfcc_9_kurtosis,mfcc_10_mean,mfcc_10_std,mfcc_10_min,mfcc_10_max,mfcc_10_skew,mfcc_10_kurtosis,mfcc_11_mean,mfcc_11_std,mfcc_11_min,mfcc_11_max,mfcc_11_skew,mfcc_11_kurtosis,mfcc_12_mean,mfcc_12_std,mfcc_12_min,mfcc_12_max,mfcc_12_skew,mfcc_12_kurtosis,mfcc_13_mean,mfcc_13_std,mfcc_13_min,mfcc_13_max,mfcc_13_skew,mfcc_13_kurtosis,spectral_centroid_mean,spectral_centroid_std,spectral_centroid_skew,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,zcr_mean,zcr_std,zcr_skew,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,tonnetz_1_mean,tonnetz_1_std,tonnetz_2_mean,tonnetz_2_std,tonnetz_3_mean,tonnetz_3_std,tonnetz_4_mean,tonnetz_4_std,tonnetz_5_mean,tonnetz_5_std,tonnetz_6_mean,tonnetz_6_std,tempo,onset_count,onset_rate,rms_mean,rms_std,rms_skew,rms_range,rms_variance,rms_p10,rms_p90,rms_iqr,energy_entropy_mean,energy_entropy_std,harmonic_centroid_mean,harmonic_centroid_std,percussive_centroid_mean,percussive_centroid_std,harmonic_to_noise_ratio,alpha_ratio_mean,alpha_ratio_std,spectral_slope,hammarberg_index_mean,hammarberg_index_std,jitter_mean,jitter_std,shimmer_mean,shimmer_std,f0_mean,f0_std,f0_min,f0_max,f0_skew,f0_kurtosis,f0_range,voicing_ratio,f0_slope,f0_variation_coef,f1_bandwidth_proxy_mean,f1_bandwidth_proxy_std,duration,sample_rate,file_path,filename,actor_id,emotion,word,gender,age,dataset
-414.30762,72.01755,-613.9055,-247.10861,-0.4979029,0.6563754,50.92998,59.972794,-72.8583,151.97159,-0.7719721,-0.56247354,13.408712,19.788536,-30.487827,55.943607,-0.11805409,-0.57327986,-16.819853,30.213158,-70.68843,35.449394,-0.26302117,-1.2085266,4.6022162,19.037996,-27.769743,46.413418,0.4519955,-0.6354358,3.8298972,22.098103,-50.867443,43.174366,-0.60652834,-0.11174679,-15.767915,17.475939,-65.086815,14.764226,-0.95157486,0.72685003,-10.555009,22.800404,-56.95924,38.269012,-0.14904906,-0.27180982,-17.332071,13.371534,-48.351772,10.096041,-0.034443334,-0.58519197,-0.5560763,12.0693,-29.567326,22.799133,-0.34445733,-0.4176376,-17.277292,14.068928,-58.15078,6.4080725,-0.6805597,0.15721536,-11.15879,10.610931,-32.183884,17.359776,0.25349435,-0.36029482,-1.1839108,10.604501,-18.38898,25.897984,0.5602141,-0.51194024,2813.961169548542,1911.7005276480622,0.970737454195511,4878.193359375,3141.14839073376,2532.6725289205892,482.20354577273696,0.14872349330357143,0.17830602664240874,1.387540757087927,0.30864066,0.2971671,0.6567614,0.37816298,0.52146965,0.32785425,0.25397864,0.31614944,0.19108586,0.2731694,0.23603308,0.30132142,0.22636478,0.31918573,0.22326161,0.33707148,0.18552054,0.23512569,0.1861111,0.27760822,0.21394645,0.34685528,0.19642493,0.2783332,-0.004977103535332965,0.14817196696536525,-0.08090381782196332,0.1807273741966671,-0.1620419646313948,0.28847063323226757,-0.14696068483005703,0.16630645689507434,0.012160713340980825,0.0893309630905499,-0.07259669278615288,0.07865499859309262,[89.10290948],11,6.845506886430345,0.022522906,0.013062209,0.0865047,0.049694188,0.00017062131,0.0051477216,0.039803203,0.022322915,26.951824890377537,11.486475549018909,2130.910483347055,1408.0580397805206,3633.3930098756505,1878.760548517552,2.2095284,1.5405567,1.6767982,-3.379710897995331e-05,48.068592,43.423782,0.0005340321027402759,0.0014824407192785129,0.025301585,0.021639956,581.7710657727544,646.9997863168015,99.3753327230762,2205.0,1.8535034357883904,1.5793222181059638,2105.624667276924,1.0,-15.443492118237401,1.1121209430676893,1.0319728,1.1953921,1.606893424036281,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/TESS/TESS Toronto emotional speech set data/OAF_Fear/OAF_third_fear.wav,OAF_third_fear.wav,OAF,Fear,third,female,Old,TESS
-427.9748,85.2899,-690.3213,-303.75058,-0.7159423,0.17351389,43.755558,51.623062,-61.76966,117.03712,-0.52418566,-0.91884804,12.469819,21.302872,-38.14746,58.0291,-0.29017484,-0.42362118,2.6105363,34.340153,-66.60992,79.68985,0.07836346,-0.24674225,5.959735,24.966171,-35.511497,69.54549,0.56770355,-0.32309413,-2.4772413,18.768661,-45.097847,43.08116,0.18297586,-0.28860617,-13.287519,20.237036,-55.672577,13.618999,-0.36360627,-1.2959238,-2.8998435,15.4002905,-45.670174,27.479084,-0.5104549,0.18217516,-16.828337,14.351314,-54.126545,7.821968,-0.44779277,-0.1817944,3.6781368,10.169405,-17.672176,22.558628,-0.07913488,-1.0679965,-16.30046,12.690347,-42.145454,10.519993,0.090368114,-0.691273,-6.607675,10.278802,-32.16652,14.73904,-0.12589952,-0.36222863,-1.3889915,11.668583,-21.28403,24.995634,0.25013,-0.56407976,2778.3683178548436,1673.0977107337883,1.033151994202392,5227.419115149457,2711.4124884850808,2592.130954358058,384.86357134835885,0.13686028079710144,0.16538398907831656,1.4629298553958106,0.54795176,0.37226635,0.6281376,0.37108952,0.4356824,0.3581705,0.19893749,0.27015522,0.13200714,0.24441844,0.13380645,0.2548018,0.13610646,0.25071156,0.12517048,0.21175966,0.16543184,0.22315145,0.21836863,0.2937064,0.27284542,0.34142846,0.35607094,0.34966996,-0.0322390408152638,0.16049515809240839,-0.04140877598267134,0.23548535657896147,-0.048450578604757585,0.31954244337122234,0.10479452700583591,0.23295558973535196,0.011957384309878217,0.11911494827345429,-0.003931564835669599,0.09798472089689432,[57.421875],8,5.035827457249708,0.019544069,0.013067419,0.46571913,0.05142568,0.00017075743,0.0033090257,0.035432488,0.019515684,26.199042112066795,11.51991939791105,2124.3054956186793,1366.2137747613683,3909.2922919374423,1530.945558393364,3.1856213,1.5570128,1.5676302,-2.7531197592377753e-05,51.92438,73.6139,0.00015605876740561617,0.0004912165664531588,0.017634874,0.01440692,663.5972649127544,715.4479871516876,239.80764492266317,2205.0,1.3458567537047315,-0.08678353822348095,1965.1923550773367,1.0,2.022025775999155,1.078135828732872,1.1348884,1.5099177,1.5886167800453515,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/TESS/TESS Toronto emotional speech set data/OAF_Fear/OAF_yes_fear.wav,OAF_yes_fear.wav,OAF,Fear,yes,female,Old,TESS
-428.9689,87.86649,-721.7547,-297.54227,-0.86195976,0.60241723,47.486107,55.93604,-72.32446,149.73238,-0.41416806,-0.67163134,14.383895,20.016779,-25.721958,63.55564,-0.017625043,-0.64683914,-0.61404043,25.581446,-63.018654,49.682316,-0.57912844,-0.1336112,6.323096,19.928514,-33.255512,43.889038,0.06130321,-1.1611768,-2.0636382,18.61375,-52.275337,23.901264,-0.61614794,-0.25324368,-12.355612,20.32954,-55.194847,23.938797,-0.69191897,-0.7071643,-3.241461,18.358112,-54.40001,32.858234,-0.8739434,1.0250201,-16.836073,14.122602,-59.73887,15.932432,-0.07010241,0.41854596,-1.1777289,12.70929,-33.23433,27.877472,-0.10509199,0.03697872,-20.418089,16.294546,-75.161194,13.606615,-0.8212788,1.1895342,-8.535766,12.830246,-40.99234,16.275202,-0.48393068,0.08522916,-6.4544854,10.665072,-32.179817,13.373823,-0.061198913,-0.74550056,2746.708035753722,1908.9088634058783,1.0839263442503562,5071.53076171875,3108.565748087164,2530.580351830372,590.5687746352311,0.14162248883928572,0.1741207775603998,1.4384107904760501,0.22989641,0.2731286,0.59210676,0.3409591,0.75443745,0.29775476,0.3812163,0.3549596,0.16749349,0.24646263,0.11858988,0.21986574,0.10368599,0.21365057,0.07260097,0.14963098,0.10797166,0.18048976,0.14313044,0.19109672,0.17398962,0.28137517,0.19519751,0.30316028,0.006542602812411042,0.16371318061550472,-0.08265345161822851,0.2004137250509161,-0.21306771481010545,0.2620424435250599,-0.17997527629735766,0.17204162623444616,0.00976755428726969,0.10745564369904248,-0.08074612995094088,0.07385606122921733,[123.046875],8,4.970554256248415,0.02383302,0.013141936,-0.41200045,0.04197391,0.00017271047,0.0027716414,0.03897811,0.022746837,26.40145824567949,11.368194001836114,1873.3563956678338,1465.2030362264802,3912.4325175867825,1887.1781166575977,7.6183043,2.0552235,2.4543498,-3.216331542702858e-05,72.44484,95.01945,0.00017907604334069393,0.000590083599895854,0.019433917,0.019323293,597.6633302186506,682.5139289159578,238.94245321110847,2205.0,1.758959731160109,1.1300286605860714,1966.0575467888916,1.0,-12.344889542596492,1.1419705616975881,0.84750843,0.99729776,1.6094784580498867,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/TESS/TESS Toronto emotional speech set data/OAF_Fear/OAF_thin_fear.wav,OAF_thin_fear.wav,OAF,Fear,thin,female,Old,TESS
-410.72513,77.98012,-675.7784,-273.96265,-1.2825316,2.4270215,46.200996,49.89596,-72.99018,124.35081,-0.8365415,-0.07030535,11.8958,15.444712,-24.319485,43.9589,-0.44732797,-0.30113268,-3.9932504,22.228268,-48.547485,39.105194,-0.40134767,-0.69160056,-9.558157,18.866928,-44.44587,29.588104,0.19045655,-0.8358066,8.690466,16.89053,-25.466282,48.483063,0.16223957,-0.09007192,-8.700504,16.7981,-59.860825,24.126135,-1.2816192,1.8337641,-5.645631,18.790758,-43.011505,32.484703,-0.18778986,-0.8895755,-25.950743,21.28881,-67.99541,15.035584,-0.10962923,-0.82313514,-8.90087,18.660599,-39.561623,31.934227,0.42889938,-0.84452415,-16.264093,10.843054,-51.61601,11.076263,-0.3997668,1.4929538,-4.506712,10.741757,-21.849808,22.556324,0.7805688,0.21407652,-6.5199766,9.350883,-25.682621,9.629162,-0.19772448,-0.95313764,2468.51940782643,1616.6653743429324,1.4219225643839173,4770.1171875,2548.9883793404733,2449.279636621376,395.61037745001727,0.10522073412698413,0.14179975293002878,1.8450030065647487,0.258079,0.380445,0.36140275,0.39729315,0.4172167,0.36513984,0.5407198,0.40454677,0.38972932,0.34672555,0.15769516,0.24978612,0.1144708,0.2314257,0.09168944,0.18222597,0.1481278,0.28933403,0.15736775,0.27295852,0.15431982,0.2709091,0.19725445,0.3125618,-0.16391543665441488,0.2465188052833193,-0.02769904458317503,0.16657147090771038,0.1321724774094207,0.35982479364398434,-0.03288277726443052,0.21305965040429134,0.0049706264342727026,0.09223650069307644,0.04773850661946372,0.14618395397429435,[112.34714674],9,6.22217344955164,0.03395349,0.019564008,-0.42469528,0.062348135,0.0003827504,0.0032006528,0.05603968,0.03317165,27.503474956986338,11.571070357876337,1875.271038426505,1300.9261162413036,3703.621195443195,1503.2277085820333,6.221881,1.6591893,1.3825061,-4.478881873698843e-05,63.933075,71.05561,0.00012862246777040585,0.00040973395271416804,0.024857612,0.021746742,623.4691075437526,653.743532748622,275.6806282239375,2205.0,1.6653300414568497,0.8929795256353397,1929.3193717760626,1.0,2.615595498404807,1.048558019697295,1.0337842,1.2425429,1.4464399092970521,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/TESS/TESS Toronto emotional speech set data/OAF_Fear/OAF_lose_fear.wav,OAF_lose_fear.wav,OAF,Fear,lose,female,Old,TESS
-476.84247,121.52263,-669.2703,-274.02838,-0.40274584,-1.2012538,56.171688,47.484985,-78.58141,134.23425,-0.7523436,0.24738312,27.256823,25.221128,-34.116135,77.95059,-0.16723743,-0.25518346,4.6093493,20.561176,-46.313293,42.406895,-0.5688418,-0.4388721,-11.724942,33.359432,-96.843,42.27115,-0.69676775,-0.3310387,-3.301061,24.755644,-52.31672,45.25058,-0.33102265,-1.100416,-7.9633656,22.149336,-55.288544,38.06724,-0.5474154,-0.46150494,4.4894743,19.840107,-55.22434,39.103516,-0.99784523,1.2552876,-9.303008,15.630777,-45.40605,14.473924,-0.16329075,-1.1496263,0.085472204,12.513916,-31.300732,27.753918,-0.36738735,-0.46472573,-10.43035,16.095192,-59.764244,12.321135,-0.71411896,0.29445434,-3.4168546,11.25527,-26.002825,18.142239,-0.012044242,-1.1045393,-6.721023,12.186202,-32.80216,14.957463,-0.15387286,-0.9303708,1965.6079249330562,1336.7034327894403,2.190116624536377,4038.101551144622,2414.793718676241,2431.779254329573,456.3737761567316,0.07171488917151163,0.1261016031819404,2.9361594534329694,0.4659256,0.41188577,0.57523537,0.3777357,0.6315418,0.37474108,0.46381134,0.38815188,0.3293732,0.39556193,0.28027198,0.38204533,0.2742618,0.370064,0.3006853,0.38473347,0.28174198,0.33339477,0.28545973,0.3114866,0.31755096,0.3366223,0.38183603,0.38235041,0.01418792852037182,0.11470853836365101,0.005383365166254682,0.12631770324668856,-0.07582954765665696,0.19630511398292536,-0.00941207617532144,0.17166389913031563,0.009342380998068125,0.07248480211686618,-0.007257148689119319,0.06121243000989942,[58.72691761],7,3.524535884730436,0.0230755,0.018759634,0.33696935,0.06889754,0.0003519239,0.0013834687,0.04952859,0.032681793,25.63712494115909,12.328656650961722,1340.5882586189705,738.2923310366426,3134.2403208245387,1632.6193256255015,0.6480681,2.951879,2.0510316,-3.414001735180818e-05,125.90708,143.6452,0.0006805998503964459,0.0024420545175031214,0.021189531,0.02312234,734.1288507360755,787.4481739393705,65.23668639053254,2205.0,1.1045390488224858,-0.7262234771316503,2139.7633136094673,1.0,-22.166715238593596,1.0726293799102526,1.3901007,1.9398899,1.986077097505669,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/TESS/TESS Toronto emotional speech set data/OAF_Fear/OAF_pole_fear.wav,OAF_pole_fear.wav,OAF,Fear,pole,female,Old,TESS
-428.08267,126.74795,-709.90704,-266.74942,-0.8115397,-0.51313853,48.602867,50.630127,-59.92943,174.87042,0.3260076,0.7406821,-1.424041,23.361832,-50.97113,42.18139,-0.12499976,-1.0389116,4.231203,30.985615,-61.6995,68.6419,-0.18169399,-0.36483622,9.735193,21.089085,-28.129234,59.59055,0.0908868,-0.46205544,-2.2508438,19.447645,-53.423065,39.90147,-0.35133335,-0.13387251,-16.440445,23.253847,-61.56366,23.17688,-0.5037974,-0.71552324,-4.0559287,15.427139,-49.72551,24.419992,-0.8625318,0.6398716,-12.395146,18.958921,-55.30172,21.24087,-0.017505964,-0.612911,0.7559142,10.364204,-25.107124,16.794533,-0.39879864,-0.61823964,-21.00726,15.124945,-66.103676,17.074978,-0.42723155,0.74374986,-4.444271,13.437137,-25.703583,25.664356,0.4768304,-0.73696303,-2.167828,10.791936,-30.942497,19.963533,-0.39639118,-0.09244847,2642.879515522815,1343.6742605066765,1.284086329690609,5477.074407762097,2325.037080830827,2567.6083572498205,482.17344223143596,0.10802828881048387,0.1273481540906242,2.2645882006826703,0.33738992,0.36569124,0.42876047,0.3788192,0.50797975,0.35037276,0.4573377,0.3351971,0.36068884,0.35033464,0.32848778,0.3580673,0.25251514,0.3011942,0.20512027,0.27141288,0.18145458,0.2279575,0.19478749,0.2577063,0.24834076,0.2963151,0.26640907,0.31658506,0.02696818142495183,0.15477249283988972,0.02455883971930764,0.12730568023602107,-0.013334422905539224,0.1719240024849231,-0.04144989485822411,0.2405000400565967,-0.021392603939639075,0.09244921271072117,-0.006768037880500493,0.05221042957875555,[161.49902344],7,4.9107568960580315,0.021120245,0.014842799,-0.21904148,0.041765537,0.00022030868,0.0012481156,0.0384627,0.029386029,24.65421153751179,11.649821565868326,1918.2463684546822,1200.518046198305,3240.426892440888,1457.1656746898245,1.721691,1.361767,1.7795408,-3.6314107734937824e-05,36.50792,50.36781,0.0006838141523583762,0.0018971926188197917,0.029680178,0.027612673,729.6759954528709,729.175087554241,97.27668547330777,2086.848214967128,1.1035195049929774,-0.6495990843514501,1989.5715294938204,1.0,4.3252897407791195,0.9993135201077583,0.6673936,0.7901896,1.4254421768707484,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/TESS/TESS Toronto emotional speech set data/OAF_Fear/OAF_kick_fear.wav,OAF_kick_fear.wav,OAF,Fear,kick,female,Old,TESS
-436.29288,84.12129,-664.84686,-310.29984,-0.46715045,-0.76669574,66.63092,54.6795,-83.88846,159.16527,-1.2720633,1.3556414,7.8910785,24.716434,-35.47162,61.089912,-0.16222237,-1.0997082,-13.935867,31.380806,-85.68561,37.045753,-0.48444033,-0.72299004,2.3857458,18.961153,-34.971535,58.05605,0.7219831,0.62516904,-2.3448534,18.984074,-49.015366,41.30657,-0.029841218,-0.073474646,-19.058668,20.321245,-67.110435,23.41652,-0.47336957,-0.38177657,-0.28721666,16.57574,-47.505363,30.178606,-0.76031756,0.40602374,-13.580629,15.884374,-50.914722,21.515259,0.13205771,-0.34831142,-2.7075636,15.281575,-36.122696,22.065552,-0.26076925,-1.0546501,-18.283836,12.7832775,-55.187813,6.3885565,-0.44732574,-0.14491153,-10.6298,14.904126,-51.260826,13.5403805,-0.60425556,0.03061533,-5.9798,8.31255,-22.596786,14.136856,0.060520064,-0.38039136,2350.716131550976,1493.7437195990406,1.6345729367806558,4490.982303103885,2633.7213218796746,2439.660544898367,444.78394819664896,0.10843802787162163,0.14408619308850404,2.3759210084910016,0.46868297,0.35455266,0.4858632,0.3412174,0.27882546,0.29625311,0.15775008,0.2422727,0.15276527,0.2532011,0.16112398,0.2796861,0.13434935,0.21318175,0.22545801,0.34040523,0.20831105,0.30724612,0.17279018,0.29872024,0.19406523,0.32886714,0.29379392,0.34522507,-0.01796748039273622,0.143974533451839,-0.009845857844039442,0.15159142018631314,-0.14718914313581674,0.18618096252194846,0.0067935816446517555,0.25656305378894917,0.011473901702953222,0.08271909187217176,-0.021555798967538824,0.07478243052486176,[129.19921875],10,5.836884877041586,0.018920531,0.00967313,-0.48380896,0.034336783,9.356944e-05,0.0034054439,0.031052763,0.015174942,26.219398389055446,11.36825330000349,1789.4781098777771,1363.0789415491613,3152.6414765382365,1480.3928695853642,2.7363734,2.1650963,2.9490683,-2.9904066024180938e-05,68.948715,83.0763,0.000630140166224301,0.002189436587659691,0.01648717,0.015469421,492.586747590332,528.6308032715938,72.93474377406116,2009.6368768299876,2.2771103433268434,3.532980206757478,1936.7021330559264,1.0,-11.089488193758278,1.073173011368002,0.8249386,0.817614,1.7132426303854875,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/TESS/TESS Toronto emotional speech set data/OAF_Fear/OAF_nag_fear.wav,OAF_nag_fear.wav,OAF,Fear,nag,female,Old,TESS
-440.84006,104.17106,-695.2222,-297.34998,-0.6870253,-0.4799459,70.11851,52.032425,-50.699253,145.77518,-0.9959959,0.17480445,11.071137,23.83875,-40.66636,54.210976,-0.16301113,-0.8078954,-11.636684,28.090742,-75.8168,46.15232,-0.114644706,-0.686172,0.19299674,19.375683,-39.93371,31.585964,-0.33445105,-0.9621787,1.0028641,15.9039545,-37.824394,25.631784,-0.56959236,-0.6945994,-14.731085,18.714195,-52.188465,19.004126,-0.11075837,-0.94751835,-0.7119286,15.774808,-45.911194,26.663235,-0.86264676,0.8505974,-19.437778,11.700993,-45.006603,10.264173,0.024202952,-0.22793889,-2.9660215,14.439669,-28.05503,24.243656,-0.07627961,-0.94509315,-20.844471,14.434849,-52.42427,9.255161,0.089063264,-0.28527713,-11.208591,14.493946,-38.192505,17.49567,0.08414382,-1.002779,-5.476093,11.845765,-27.809479,19.139935,0.25561833,-0.8143196,2078.8931013683814,1525.8625268497287,1.6739227088812345,3570.3060150146484,2612.5365966435047,2237.8676132867536,456.5445992494038,0.104736328125,0.14946850551463203,2.2007997554122363,0.3157732,0.34247905,0.55696964,0.38944876,0.522415,0.37613842,0.24345781,0.2938629,0.11437711,0.21600854,0.1317964,0.26541644,0.14091526,0.25074863,0.1343803,0.24853401,0.16915938,0.2536104,0.19266227,0.2874573,0.19318494,0.3531503,0.17190024,0.27619913,0.0277526262124399,0.18661976379575257,0.007126389096516688,0.18139247993100244,-0.14309887134004406,0.18714856226017934,-0.08384204737012652,0.29155581765346733,-0.008245278467211209,0.10355561112375625,-0.025012688186507176,0.08966985391368248,[54.97839096],7,4.720905337207524,0.021920444,0.013315903,0.6297045,0.059235364,0.00017731328,0.005447929,0.034198917,0.016229892,26.99822093100743,11.255886480358683,1399.2324240903026,1095.1971283644293,2987.093490241735,1633.4821172500208,1.0962048,2.5441298,2.3166401,-3.323025303844903e-05,84.64224,102.24163,0.0006005544666169893,0.0017298578871103286,0.020538243,0.017597672,410.81974305833376,415.5178893838208,94.41546759820623,2089.2689434379604,3.406896351214388,10.150268732125824,1994.853475839754,1.0,-9.440800296160889,1.011436028586189,1.0796958,1.4681065,1.482766439909297,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/TESS/TESS Toronto emotional speech set data/OAF_Fear/OAF_met_fear.wav,OAF_met_fear.wav,OAF,Fear,met,female,Old,TESS
-441.29657,150.44551,-693.74,-236.43378,-0.59827924,-1.1742632,47.61323,52.101933,-86.306076,144.3905,-0.7186201,0.34850645,11.571662,26.87416,-42.64016,62.099373,-0.23139627,-1.1507242,1.249885,33.019436,-76.079926,51.08787,-0.64046544,-0.5444238,6.636645,19.775774,-32.60258,47.7701,-0.10013205,-1.0198718,5.2373476,16.974874,-28.08535,35.70496,-0.37558252,-0.9447441,-12.227483,25.26114,-60.094994,38.453842,-0.1358241,-0.89868975,-0.9944902,18.074379,-49.103344,30.79292,-0.6811114,0.15604854,-11.942713,16.774277,-56.759888,19.935518,-0.24219824,-0.29187417,-0.5909576,11.957452,-31.413155,22.684277,-0.75780773,0.2097094,-14.38862,17.124928,-51.489815,13.468945,-0.29610577,-0.49446774,-3.2447968,11.6550865,-21.65075,20.281929,0.046460606,-1.1930412,-2.6704817,10.417853,-23.198063,19.391201,0.034343142,-0.6303346,2264.168558839994,1641.8860993805179,1.5642603308282859,4218.213290855533,2798.6178577106202,2391.5653124665027,451.7512214392184,0.09515881147540983,0.15025336901409259,2.361163709138612,0.33237827,0.3893442,0.42040774,0.37519965,0.5743908,0.35148323,0.6400263,0.36346397,0.45419505,0.35394147,0.37731385,0.41311234,0.25325873,0.34360367,0.22485411,0.32996798,0.22197305,0.31347337,0.24413204,0.30858436,0.25688654,0.30981144,0.2754585,0.34417528,-0.07937585919733135,0.17590544112084333,0.027415971271507043,0.09274562122366638,0.08223570839761432,0.2660625893560182,-0.046961582754357196,0.16692857901499178,-0.013892013771673007,0.057625579332914394,0.03354146415520398,0.09553484604537114,[67.99958882],6,4.296710077620084,0.02838797,0.020437218,-0.17415828,0.05522262,0.0004176799,0.002041026,0.050587304,0.041786864,24.882513248334988,12.004095862312608,1404.7210137223067,1239.0922630541693,3101.1729480157055,1698.0197786665658,4.2077546,2.5603428,2.983292,-4.266376532749786e-05,153.01134,224.22687,0.00034821880328668084,0.000741314244216272,0.031757224,0.03212412,734.5442004454817,752.0750930986763,274.7751117549857,2205.0,1.3146889126165089,-0.20057550096317867,1930.2248882450144,1.0,4.255837117894497,1.023866355002817,1.0169282,1.3443662,1.3964172335600906,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/TESS/TESS Toronto emotional speech set data/OAF_Fear/OAF_dip_fear.wav,OAF_dip_fear.wav,OAF,Fear,dip,female,Old,TESS
-420.31842,94.15282,-719.589,-268.81607,-1.5938811,3.0612326,54.03705,52.054913,-64.17803,130.19308,-0.8046441,-0.37242293,-7.672381,37.56435,-87.086975,54.022797,-0.55149335,-0.6358123,-5.454532,34.01404,-81.041115,55.795826,-0.12193408,-0.8752303,2.6934395,20.581553,-35.18298,47.23294,0.33169892,-0.72953534,-1.4069608,16.049252,-37.13559,33.490955,0.05828006,-0.4249041,-11.736729,17.638512,-51.46534,20.16983,-0.33062696,-0.8143363,3.7033148,15.037194,-36.169495,30.8202,-0.656883,-0.21275353,-10.861603,16.402102,-55.215595,26.179054,-0.113341756,0.15420747,4.798313,13.546119,-28.727213,32.258057,-0.32625848,-0.0037992,-12.849553,13.579708,-50.162773,14.404851,-0.26616436,-0.07862663,-6.462668,11.795438,-27.312592,17.406385,0.28153232,-1.0677427,-3.7475836,11.386269,-23.719044,23.51548,0.28680995,-0.59929085,2510.8248382744105,1480.0665026336796,1.2551053748818637,4449.6047394185125,2418.439082676329,2376.146637947908,409.85491067188264,0.12962321993670886,0.1402953120265104,1.590798654988914,0.3465117,0.31586623,0.5089123,0.34313008,0.40612382,0.3357348,0.22545631,0.29716396,0.24253568,0.32995102,0.28476378,0.37265593,0.21396497,0.28973764,0.24238703,0.31490102,0.31491357,0.34220442,0.27609557,0.3145063,0.25241897,0.32575822,0.28465524,0.3598857,-0.05148280425843071,0.13179051747334625,-0.03935921109980869,0.19672139711439124,-0.13798823192291276,0.2484198344602028,0.08651506636126662,0.20067001377345145,0.04452667367629241,0.08565454211701003,-0.014295775592150277,0.08223211306060196,[117.45383523],8,4.374132116643524,0.01803807,0.0123760095,0.09474612,0.042054024,0.0001531656,0.002516962,0.03501794,0.021887284,25.348425185386358,11.786204196540066,1957.2638111182657,1008.4544387106774,3322.4921954442075,1485.168218375694,0.31585965,1.4952142,1.7742976,-3.239814856597514e-05,59.522305,134.49219,0.00045277093631050744,0.0014523267713205995,0.017433317,0.019851603,589.9183116239651,599.5086610844033,77.08667983845879,2205.0,1.8473268644492546,1.9770781845347756,2127.9133201615414,1.0,-11.800966137313008,1.0162570804658286,0.9762844,1.1550287,1.8289342403628117,22050,/Users/will/Projects/SpeechEmotionCS3540/datasets/TESS/TESS Toronto emotional speech set data/OAF_Fear/OAF_hash_fear.wav,OAF_hash_fear.wav,OAF,Fear,hash,female,Old,TESS
